title,description,url,published_date,source,country,language
"Reconnaissance dun État palestinien par la France  Emmanuel Macron est aujourdhui félicité par ceux qui ont déclenché le 7 Octobre, fustige François-Xavier Bellamy","La décision du président de la République de reconnaître un État de Palestine en septembre sera soit parfaitement inutile, soit contre-productive, a cinglé leurodéputé sur RTL ce vendredi.",https://www.lefigaro.fr/politique/emmanuel-macron-voulait-organiser-une-coalition-anti-hamas-aujourd-hui-il-est-felicite-par-ceux-qui-ont-declenche-le-7-octobre-fustige-francois-xavier-bellamy-20250725,2025-07-25T09:12:16,Le Figaro,France,fr
Reconnaissance dun État palestinien par la France  le Hamas salue une étape positive pour rendre justice à notre peuple opprimé,"LArabie saoudite sest également réjouie dune décision historique, tandis que lEspagne a de son côté réaffirmé que la solution à deux États est la seule solution.",https://www.lefigaro.fr/international/reconnaissance-d-un-etat-palestinien-par-la-france-le-hamas-salue-une-etape-positive-pour-rendre-justice-a-notre-peuple-opprime-20250725,2025-07-25T07:15:13,Le Figaro,France,fr
"Victoire morale, Enfin!, cadeau au Hamas... La future reconnaissance dun État palestinien par la France fracture la classe politique","Cet engagement se concrétisera en septembre lors de lAssemblée générale de lONU, a annoncé ce jeudi soir Emmanuel Macron, au nom de lengagement historique de la France.",https://www.lefigaro.fr/politique/victoire-morale-enfin-cadeau-au-hamas-la-future-reconnaissance-d-un-etat-palestinien-par-la-france-fracture-la-classe-politique-20250724,2025-07-25T09:12:43,Le Figaro,France,fr
Reconnaissance dun État palestinien par la France  le Crif dénonce un danger politique,"Lannonce faite jeudi par Emmanuel Macron sera brandie par le Hamas comme une victoire symbolique et une récompense du terrorisme du 7-Octobre, écrit le Conseil représentatif des institutions juives de France dans un communiqué.",https://www.lefigaro.fr/international/reconnaissance-d-un-etat-palestinien-par-la-france-le-crif-denonce-une-faute-morale-et-un-danger-politique-20250725,2025-07-25T09:17:40,Le Figaro,France,fr
Quels pays reconnaissent désormais lexistence de lÉtat palestinien ?,"CARTE - La France reconnaîtra lÉtat de Palestine en septembre, a annoncé le président de la République Emmanuel Macron sur le réseau social X, jeudi 24 juillet. Depuis 1988, 148 pays ont adopté cette position.",https://www.lefigaro.fr/international/quels-pays-reconnaissent-desormais-l-existence-de-l-etat-palestinien-20240528,2025-07-25T09:08:55,Le Figaro,France,fr
Que va changer la reconnaissance par la France dun État palestinien ?,Emmanuel Macron a annoncé jeudi que la France reconnaîtra lÉtat palestinien dès le mois de septembre.,https://www.lefigaro.fr/que-changera-la-reconnaissance-par-la-france-d-un-etat-palestinien-20250410,2025-07-25T06:58:08,Le Figaro,France,fr
Une décision imprudente  les États-Unis fustigent la décision de la France de reconnaître un État palestinien,"Le chef de la diplomatie américaine Marco Rubio a qualifié cette décision dimprudente, et de camouflet pour les victimes du 7 octobre.",https://www.lefigaro.fr/international/etat-palestinien-les-etats-unis-disent-rejeter-fermement-la-reconnaissance-par-la-france-20250725,2025-07-25T06:10:56,Le Figaro,France,fr
Aide directe au terrorisme  Israël dénonce la reconnaissance de lÉtat palestinien par la France,"Le Hamas a de son côté salué lannonce d Emmanuel Macron, y voyant un pas positif et appelant dautres pays à suivre cet exemple.",https://www.lefigaro.fr/international/israel-denonce-la-reconnaissance-de-l-etat-palestinien-par-la-france-20250725,2025-07-25T06:13:43,Le Figaro,France,fr
Le mystère Jubillar  le grand récit de Thibault de Montaigu,"Le 22 septembre souvrira, devant la cour dassises du Tarn, le procès de Cédric Jubillar, accusé du meurtre de sa femme Delphine, disparue en décembre 2020. Fasciné par laffaire, le journaliste-écrivain sest plongé avec passion dans ce dossier qui fascine les Français.",https://www.lefigaro.fr/faits-divers/l-enigme-jubillar-le-mystere-vu-par-thibault-de-montaigu-20250725,2025-07-25T08:45:53,Le Figaro,France,fr
Affaire Cédric Jubillar  ce qua dit lex-compagne du suspect aux enquêteurs,"Jennifer C., ancienne petite amie de Cédric Jubillar, était auditionnée par les enquêteurs de la section de recherche de Toulouse. Ce dernier lui aurait avoué le meurtre de sa femme, Delphine, disparue en décembre 2020.",https://www.lefigaro.fr/faits-divers/affaire-cedric-jubillar-ce-qu-a-dit-l-ex-compagne-du-suspect-aux-enqueteurs-20250724,2025-07-24T21:34:36,Le Figaro,France,fr
