title,description,url,published_date,source,country,language
"DMK MPs will make their voices on TNs rights heard in Parliament, says CM Stalin",,https://indianexpress.com/article/india/dmk-mp-stalin-tamil-nadu-parliament-10148656/,2025-07-25T07:13:49,Indian Express,India,en
Meghalaya mulling law to make HIV testing mandatory before marriage Health minister,,https://indianexpress.com/article/india/meghalaya-law-hiv-testing-mandatory-before-marriage-health-minister-10148521/,2025-07-25T06:18:39,Indian Express,India,en
V-P election EC appoints Rajya Sabha Secretary General PC Mody as returning officer,,https://indianexpress.com/article/india/ec-returning-officer-vp-rajya-sabha-gen-sec-pc-mody-10148433/,2025-07-25T06:17:55,Indian Express,India,en
"Exclusive Informed by caste survey, Telangana could provide curated benefits for each sub-caste",,https://indianexpress.com/article/india/telangana-caste-survey-curated-benefits-each-sub-caste-10148535/,2025-07-25T06:14:52,Indian Express,India,en
DRDO test-fires drone-launched missile in Andhra,,https://indianexpress.com/article/india/drdo-test-fires-drone-launched-missile-rajnath-singh-10148506/,2025-07-25T06:08:28,Indian Express,India,en
RCB player Yash Dayal booked in Jaipur on charges of raping minor,,https://indianexpress.com/article/india/rcb-yash-dayal-jaipur-minor-rape-10148463/,2025-07-25T05:44:14,Indian Express,India,en
"Prof Sulochana Gadgil, who knew the how and why of Indian monsoons, passes away at 81",,https://indianexpress.com/article/india/prof-sulochana-gadgil-india-monsoons-illness-mathematics-pune-10148432/,2025-07-25T05:37:14,Indian Express,India,en
"Parliament Monsoon Session Day 5 LIVE Kamal Haasan makes Parliament debut, sworn in as Rajya Sabha MP",,https://indianexpress.com/article/india/parliament-monsoon-session-2025-today-live-updates-lok-sabha-rajya-sabha-10148247/,2025-07-25T04:55:29,Indian Express,India,en
Faith of common people is waning Supreme Court urges fast-track courts for trial of gangsters to curb delays,,https://indianexpress.com/article/india/supreme-court-urges-fast-track-courts-for-trial-of-gangsters-curb-delays-10148291/,2025-07-25T04:40:03,Indian Express,India,en
"At least 6 students killed, many seriously injured as school building collapses in Rajasthans Jhalawar",,https://indianexpress.com/article/india/rajasthan-school-building-collapse-jhalawar-children-trapped-toll-rescue-ops-10148248/,2025-07-25T04:15:02,Indian Express,India,en
2011 rape-murder convict Govindachami arrested hours after escaping from Kannur Central Jail in Kerala,,https://indianexpress.com/article/india/2011-rape-murder-convict-govindachami-escapes-kannur-central-jail-kerala-10148245/,2025-07-25T04:11:45,Indian Express,India,en
Indian Railways How many passengers travelled by train in last six years?,,https://indianexpress.com/article/india/indian-railways-how-many-passengers-travelled-by-train-in-last-six-years-10147603/,2025-07-25T03:42:13,Indian Express,India,en
"Big boost for Mumbai local train services 12 rail projects worth over Rs 16,200 crore sanctioned",,https://indianexpress.com/article/india/boost-for-mumbai-local-train-rail-projects-worth-rs-16200-crore-sanctioned-10147227/,2025-07-25T03:33:10,Indian Express,India,en
"Outside Indore Press Club, NGO members assaulted during press conference to clear the air on conversion claims",,https://indianexpress.com/article/india/after-press-meet-to-address-conversion-allegations-indore-ngo-members-assaulted-videos-go-viral-10147888/,2025-07-25T01:30:52,Indian Express,India,en
"Lower judiciary treated like shudras, les misérables, High Court judges like savarnas Madhya Pradesh HC quashes termination of district judge",,https://indianexpress.com/article/india/lower-judiciary-treated-like-shudras-les-miserables-madhya-pradesh-hc-quashes-termination-of-district-judge-10147886/,2025-07-25T01:30:37,Indian Express,India,en
"66 Maoists, Rs 2.54 crore bounty, 5 districts and a single-day surrender in Bastar",,https://indianexpress.com/article/india/security-forces-new-strategy-bears-fruit-66-maoists-with-combined-bounty-of-rs-2-54-crore-surrender-in-a-day-in-bastar-10147902/,2025-07-25T01:30:22,Indian Express,India,en
Late IRS officer leaves assets worth Rs 3.66 crore to Tirupati temple trust He had deep faith and devotion,,https://indianexpress.com/article/india/late-irs-officer-leaves-assets-worth-rs-3-66-crore-to-tirupati-temple-trust-he-had-deep-faith-and-devotion-10147908/,2025-07-25T01:22:46,Indian Express,India,en
Those misusing democratic freedoms must be held to account PM Modi,,https://indianexpress.com/article/india/those-misusing-democratic-freedoms-must-be-held-to-account-pm-modi-10147909/,2025-07-24T22:50:56,Indian Express,India,en
"As Opposition keeps up protest against SIR, both Houses adjourned for day",,https://indianexpress.com/article/india/as-opposition-keeps-up-protest-against-sir-both-houses-adjourned-for-day-10147955/,2025-07-24T22:50:54,Indian Express,India,en
"Data breach at ICAR hits key recruitment, agri research projects",,https://indianexpress.com/article/india/data-breach-at-icar-hits-key-recruitment-agri-research-projects-10147925/,2025-07-24T22:50:51,Indian Express,India,en
"Congress fell short of understanding OBC issues, opened up space for BJP, says Rahul Gandhi",,https://indianexpress.com/article/india/congress-fell-short-of-understanding-obc-issues-opened-up-space-for-bjp-says-rahul-gandhi-10147982/,2025-07-24T22:50:44,Indian Express,India,en
"Muslim clerics, Mohan Bhagwat agree on interfaith dialogue at meet",,https://indianexpress.com/article/india/muslim-clerics-mohan-bhagwat-agree-on-interfaith-dialogue-at-meet-10147989/,2025-07-24T22:50:33,Indian Express,India,en
"Bihar Special Intensive Revision Day before deadline, Election Commission says about 7 lakh forms not received",,https://indianexpress.com/article/india/bihar-special-intensive-revision-day-before-deadline-election-commission-says-about-7-lakh-forms-not-received-10147986/,2025-07-24T22:50:30,Indian Express,India,en
We are also trying to pursue Supreme Court on govt delay in judicial appointments,,https://indianexpress.com/article/india/we-are-also-trying-to-pursue-supreme-court-on-govt-delay-in-judicial-appointments-10147975/,2025-07-24T21:45:31,Indian Express,India,en
PMLA case against Robert Vadra  Land deal cancellation was illegally revoked by ex-Haryana CM Hooda ED to Court,,https://indianexpress.com/article/india/pmla-case-against-robert-vadra-land-deal-cancellation-was-illegally-revoked-by-ex-haryana-cm-hooda-ed-to-court-10147971/,2025-07-24T21:33:22,Indian Express,India,en
"Presidents Rule for another 6 months in Manipur, Amit Shah to move resolution in Rajya Sabha today",,https://indianexpress.com/article/india/presidents-rule-for-another-6-months-in-manipur-amit-shah-to-move-resolution-in-rajya-sabha-today-10147784/,2025-07-24T18:30:10,Indian Express,India,en
"India-UK free trade deal opens UK shelves to feni from Goa, Nashiks wines, and Keralas toddy",,https://indianexpress.com/article/india/india-uk-free-trade-deal-feni-goa-nashik-wines-kerala-toddy-10147722/,2025-07-24T17:52:52,Indian Express,India,en
"Right of society to watch or not watch a movie, says SC while hearing petitions challenging release of Udaipur Files",,https://indianexpress.com/article/india/right-of-society-to-watch-or-not-says-sc-udaipur-files-10147681/,2025-07-24T16:57:30,Indian Express,India,en
"Ex-Tripura CM Manik Sarkar trains guns at RSS, BJP over voter revision issue, says they are trying to unleash attacks on Constitution",,https://indianexpress.com/article/india/manik-sarkar-tripura-rss-bjp-bengali-voter-revision-10147686/,2025-07-24T16:53:55,Indian Express,India,en
"FIR against Prashant Kishor, 2,000 Jan Suraaj supporters over Bihar Assembly protest",,https://indianexpress.com/article/india/prashant-kishor-jan-suraaj-fir-bihar-assembly-protest-10147667/,2025-07-24T16:48:49,Indian Express,India,en
Watch  Lost in translation PM Modi says dont bother as translator struggles at presser with UKs Starmer,,https://indianexpress.com/article/india/watch-pm-modi-says-dont-bother-as-translator-struggles-presser-with-uk-keir-starmer-10147427/,2025-07-24T15:55:33,Indian Express,India,en
Dont agree LoP should go with CM to seek funds from Centre HP Gov,,https://indianexpress.com/article/india/dont-agree-lop-cm-seek-funds-from-centre-hp-gov-10147502/,2025-07-24T15:11:02,Indian Express,India,en
"Operation Sindoor Indias actions were measured, non-escalatory, govt tells Parliament",,https://indianexpress.com/article/india/operation-sindoor-indias-actions-were-measured-non-escalatory-10147500/,2025-07-24T14:52:44,Indian Express,India,en
"No current plan to remove socialist, secular from Preamble Law Minister",,https://indianexpress.com/article/india/no-current-plan-remove-socialist-secular-from-preamble-law-minister-10147476/,2025-07-24T14:36:33,Indian Express,India,en
"A road to her village, a newborn in her family  before her own delivery, YouTuber Leela Sahu welcomes niece",,https://indianexpress.com/article/india/youtuber-leela-sahu-welcomes-niece-10147332/,2025-07-24T14:08:31,Indian Express,India,en
Aviation watchdog DGCA issues 4 show cause notices to Air India for various violations,,https://indianexpress.com/article/india/dgca-issues-4-show-cause-notices-to-air-india-for-various-violations-10147418/,2025-07-24T13:57:03,Indian Express,India,en
Top 10 public sector banks with highest number of employees,,https://indianexpress.com/article/india/top-10-public-sector-banks-with-highest-number-of-employees-10147057/,2025-07-24T13:26:01,Indian Express,India,en
"Bihar EC drive Tejashwi says can consider boycott, Congress adds all options open",,https://indianexpress.com/article/india/everything-being-discussed-congress-tejashwis-call-for-boycott-of-assembly-polls-10147136/,2025-07-24T12:22:05,Indian Express,India,en
"Minor rise in sick leave by Air India pilots post-crash, Civil Aviation Ministry tells LS",,https://indianexpress.com/article/india/air-india-ahmedabad-crash-112-pilots-on-leave-aviation-mos-parliament-10147116/,2025-07-24T12:13:26,Indian Express,India,en
Indias top 10 states with highest per capita income,,https://indianexpress.com/article/india/indias-top-10-states-with-highest-per-capita-income-10146812/,2025-07-24T11:27:52,Indian Express,India,en
After years of hard work India and UK sign Free Trade Agreement deal during PM Modis visit,,https://indianexpress.com/article/india/india-uk-sign-free-trade-agreement-deal-pm-modi-visit-starmer-10146924/,2025-07-24T11:13:46,Indian Express,India,en
Your comments embarrassed the party JDU MP who spoke against SIR gets show-cause notice,,https://indianexpress.com/article/india/jdu-mp-sir-show-cause-notice-bihar-10146896/,2025-07-24T10:46:36,Indian Express,India,en
The guilty wont be spared Tripura Minister Kishor Barman sets up team to probe fake fee cards row in Govt college,,https://indianexpress.com/article/india/tripura-minister-kishor-barman-probe-fake-fee-cards-govt-college-10146841/,2025-07-24T10:32:52,Indian Express,India,en
"So-called influencers sitting outside state, paid to create false narratives Goa tourism minister",,https://indianexpress.com/article/india/influencers-outside-state-paid-create-false-narratives-goa-tourism-minister-10146771/,2025-07-24T10:15:54,Indian Express,India,en
"India, UK sign free trade deal as PM Modi meets British counterpart Starmer 10 points",,https://indianexpress.com/article/india/pm-modi-signs-india-uk-fta-in-london-meets-pm-keir-starmer-10146663/,2025-07-24T09:45:05,Indian Express,India,en
Kerala man who claimed judges working under Sangh influence gets 3 days in jail for contempt of court,,https://indianexpress.com/article/india/kerala-judges-sangh-influence-jail-contempt-court-10146625/,2025-07-24T09:19:47,Indian Express,India,en
"Jal Jeevan Mission guidelines changes in 2022 were due to requests from states, minister V Somanna tells Lok Sabha",,https://indianexpress.com/article/india/jal-jeevan-mission-guidelines-changes-in-2022-were-due-to-requests-from-states-minister-v-somanna-tells-lok-sabha-10146600/,2025-07-24T09:15:39,Indian Express,India,en
"Low pressure forms over Bay of Bengal, heavy rainfall forecast in 12 Odisha districts IMD",,https://indianexpress.com/article/india/low-pressure-forms-over-bay-of-bengal-heavy-rainfall-forecast-in-12-odisha-districts-imd-10146556/,2025-07-24T09:04:15,Indian Express,India,en
Bihar vs Maharashtra Which state tops in originating Vande Bharat trains?,,https://indianexpress.com/article/india/bihar-vs-maharashtra-which-state-tops-in-originating-vande-bharat-trains-10146066/,2025-07-24T09:03:39,Indian Express,India,en
