title,description,url,published_date,source,country,language
"Mumbai rains IMD issues orange alert for State capital, red alert for Vidarbha region",IMD issued extremely heavy rainfall warnings for Konkan region and Goa,https://www.thehindu.com/news/national/maharashtra/mumbai-rains-imd-issues-orange-alert-for-state-capital-red-alert-for-vidarbha-region/article69853860.ece,2025-07-25T12:37:56,The Hindu,India,en
Three injured as goods carrier rams car returning from airport trip,,https://www.thehindu.com/news/cities/Hyderabad/three-injured-as-goods-carrier-rams-car-on-airport-return-trip/article69853386.ece,2025-07-25T12:37:41,The Hindu,India,en
"Telangana Deputy Bhatti makes a pitch for Cong, INDIA Bloc to raise OBC quota in Parliament","Mr. Bhatti, explained to the MPs that the entire process followed by the State Government and asserted that the survey was conducted in a meticulous and foolproof manner",https://www.thehindu.com/news/national/telangana/telangana-deputy-bhatti-makes-a-pitch-for-cong-india-bloc-to-raise-obc-quota-in-parliament/article69853626.ece,2025-07-25T12:15:46,The Hindu,India,en
India forms panel for COP-33 that it proposed to host,"During his address at COP 28 in Dubai, Prime Minister Narendra Modi had proposed India as the host country for COP 33.",https://www.thehindu.com/news/national/india-forms-panel-for-cop-33-that-it-proposed-to-host/article69853720.ece,2025-07-25T12:11:35,The Hindu,India,en
"Parliament Monsoon session Lok Sabha adjourned till 2 p.m., Rajya Sabha adjourned for the day","Four newly elected Rajya Sabha MPs from Tamil Nadu, including actor-turned-politician Kamal Haasan, took oath as member of the House",https://www.thehindu.com/news/national/parliament-monsoon-session-lok-sabha-and-rajya-sabha-proceedings-on-july-25-2025/article69853780.ece,2025-07-25T12:03:50,The Hindu,India,en
Govindachamys prison break evokes echoes of Ripper Jayanandans daring 2013 escape from Thiruvananthapuram jail,"On July 11, 2013, Ripper Jayanandan, a death row prisoner accused of eight murders for gain and 14 burglaries, made a daring midnight escape from the Central Prison, Thiruvananthapuram",https://www.thehindu.com/news/national/kerala/govindachamys-prison-break-evokes-echoes-of-ripper-jayanandans-daring-2013-escape-from-thiruvananthapuram-jail/article69853717.ece,2025-07-25T12:03:07,The Hindu,India,en
Vice-President election ECI appoints Rajya Sabha Secretary General as Returning Officer,"By convention, the Secretary General, Lok Sabha or the Secretary General, Rajya Sabha is appointed as the Returning Officer, by rotation.",https://www.thehindu.com/news/national/vice-president-election-eci-appoints-rajya-sabha-secretary-general-as-returning-officer/article69853772.ece,2025-07-25T11:59:59,The Hindu,India,en
Telangana HC dismisses IAS officers plea to discharge her from OMC case,,https://www.thehindu.com/news/national/telangana/telangana-hc-dismisses-ias-officers-plea-to-discharge-her-from-omc-case/article69853673.ece,2025-07-25T11:50:30,The Hindu,India,en
Opposition MPs tear and throw SIR posters in bin as symbolic rejection of exercise,"The MPs also staged a protest march in the Parliament House complex, demanding the rollback as well as a discussion on the issue in both houses",https://www.thehindu.com/news/national/opposition-mps-tear-and-throw-sir-posters-in-bin-as-symbolic-rejection-of-exercise/article69853695.ece,2025-07-25T11:48:32,The Hindu,India,en
"Kamal Haasan, Makkal Needhi Maiam chief, takes oath as Rajya Sabha member",Three other DMK MPs from Tamil Nadu too took oath as Rajya Sabha members.,https://www.thehindu.com/news/national/kamal-haasan-mnm-chief-takes-oath-as-rajya-sabha-member/article69853726.ece,2025-07-25T11:47:37,The Hindu,India,en
DRDO successfully tests UAV-launched Precision Guided Missile,DRDO has developed a UAV-Launched Missile  Extended Range ULM-ER munition designed for deployment via unmanned aerial platforms,https://www.thehindu.com/news/national/drdo-successfully-tests-of-uav-launched-precision-guided-missile/article69853650.ece,2025-07-25T11:46:39,The Hindu,India,en
"Rajasthan school roof collapse LIVE Atleast six students killed, several feared trapped in debris in Jhalawar",Police said the children were pulled out of the debris with the help of teachers and villagers. There were around 35 students in the building when the incident occurred.,https://www.thehindu.com/news/national/rajasthan/rajasthan-jhalawar-school-building-collapse-deaths-trapped-live-updates-july-25-2025/article69853640.ece,2025-07-25T11:19:39,The Hindu,India,en
Education Ministry permits seven new departments at Central University of Karnataka,"The V-C said that CUK is establishing a Centre of Excellence in High Frequency Electronics in the campus, which aims at training manpower in high frequency electronics",https://www.thehindu.com/news/national/karnataka/education-ministry-permits-seven-new-departments-at-central-university-of-karnataka/article69851029.ece,2025-07-25T11:15:16,The Hindu,India,en
Watch  Gujarats collapsing bridges Cracks in infrastructure and accountability,Abhinay Deshpande reports on the tragedy in a State where at least six bridges have collapsed in the last four years,https://www.thehindu.com/videos/watch-gujarats-collapsing-bridges-cracks-in-infrastructure-and-accountability/article69853588.ece,2025-07-25T10:42:31,The Hindu,India,en
"PM Modi now second longest serving in office in consecutive terms, surpasses Indira Gandhis record","Officials noted that Mr. Modi completes 4,078 days in office on Friday July 25, 2025. Indira Gandhi was in the office in an unbroken stint for 4,077 days, from January 24, 1966 to March 24, 1977",https://www.thehindu.com/news/national/narendra-modi-surpasses-indira-gandhi-to-be-pm-with-second-longest-unbroken-stint/article69853527.ece,2025-07-25T10:32:23,The Hindu,India,en
"Engineered for speed, not safety? The cost of a fast corridor","Hyderabads Outer Ring Road has seen over 30 deaths in 2025 and 369 in the past five years, with road safety analysts highlighting that most accidents are preventable errors like speeding, poor lane discipline, misuse of road shoulders, and inadequate driver training",https://www.thehindu.com/news/national/telangana/engineered-for-speed-not-safety-the-cost-of-a-fast-corridor-hyderabads-outer-ring-road/article69852084.ece,2025-07-25T10:19:33,The Hindu,India,en
PM Modi in Maldives LIVE Maldives President Mohamed Muizzu welcomes PM Modi,PM Modi has been invited by Maldivian President Mohamed Muizzu and will attend the countrys 60th Independence Day celebrations as the Guest of Honour,https://www.thehindu.com/news/national/pm-modi-in-maldives-live-updates-july-25-2025/article69853466.ece,2025-07-25T10:03:23,The Hindu,India,en
Four students killed as school building collapses in Rajasthans Jhalawar,Education Minister Madan Dilawar said a high-level inquiry will be conducted into the incident.,https://www.thehindu.com/news/national/rajasthan/rajasthan-school-building-collapse-jhalawar-several-dead-rescue-updates/article69853458.ece,2025-07-25T09:56:35,The Hindu,India,en
"Parliament Monsoon session LIVE updates, Day 5 Rajya Sabha adjourned for the day, Lok Sabha to resume at 2 p.m.",Parliament has hardly seen any business since it reassembled on Monday for the Monsoon Session.,https://www.thehindu.com/news/national/parliament-monsoon-session-day-5-live-updates-july-25-2025/article69853373.ece,2025-07-25T09:56:31,The Hindu,India,en
Telangana caste survey draws praise of Congress top leadership,Telangana Chief Minister Reddy pointed out that the Telangana caste survey was a role model for the country,https://www.thehindu.com/news/national/telangana/telangana-caste-survey-draws-praise-of-congress-top-leadership/article69853409.ece,2025-07-25T09:52:21,The Hindu,India,en
"Untainted teachers and non-teaching staff left in the lurch, both in Kolkata and Delhi","Despite protests and appeals, axed teachers struggle to find justice both Supreme Court and High Court refuse to interfere in new school recruitment process",https://www.thehindu.com/news/national/west-bengal/untainted-teachers-and-non-teaching-staff-left-in-the-lurch-both-in-kolkata-and-delhi/article69853374.ece,2025-07-25T09:51:59,The Hindu,India,en
"KITE deploys 2,161 robotic kits in schools in Keralas Kannur to boost practical learning in robotics","As part of revised ICT curriculum, a chapter in Class 10 textbook introduces students to robotics concepts through practical activities such as circuit construction, the use of sensors and actuators and controlling devices via computer programming",https://www.thehindu.com/news/national/kerala/kite-deploys-2161-robotic-kits-in-schools-in-keralas-kannur-to-boost-practical-learning-in-robotics/article69853312.ece,2025-07-25T09:40:01,The Hindu,India,en
APTSL to offer cybersecurity auditing services nationwide,"Andhra Pradesh Technology Services Limited expands cybersecurity services to private sector and other States, offering internships and awareness programs to combat cyber frauds",https://www.thehindu.com/news/national/andhra-pradesh/aptsl-to-offer-cybersecurity-auditing-services-nationwide/article69851997.ece,2025-07-25T09:38:34,The Hindu,India,en
