title,description,url,published_date,source,country,language
"Watch Rahul Gandhi, Priyanka Gandhi, Dimple Yadav tear SIR placards, throw them in bin protest enters fifth day of monsoon session","Congress MP and leader of opposition in Lok Sabha Rahul Gandhi, Congress MP Priyanka Gandhi Vadra, and Samajwadi Party MP Dimple Yadav, along with several MPs from INDIA bloc parties, tore placards with SIR written on them and threw them into a dustbin as part of their demonstration on the Parliament premises.",https://timesofindia.indiatimes.com/india/watch-rahul-priyanka-dimple-tear-sir-placards-in-parliament-protest-enters-fifth-day-of-monsoon-session/articleshow/122897590.cms,2025-07-25T11:54:40,Times of India,India,en
"From one chaiwala to another PM Modi, UK PM Starmer enjoy cup of tea watch video","Prime Minister Narendra Modi and UKs Keir Starmer strengthened India-UK ties over chai pe charcha at Chequers after signing the Free Trade Agreement. The leaders displayed a strong rapport during their meeting, with PM Modi emphasizing a robust partnership using cricket analogies. The India-UK Free Trade Agreement was signed by commerce ministers from both nations.",https://timesofindia.indiatimes.com/india/from-one-chaiwala-to-another-pm-modi-uk-pm-starmer-enjoy-cup-of-tea-watch-video/articleshow/122895973.cms,2025-07-25T11:54:30,Times of India,India,en
Thailand-Cambodia border clash Indian Embassy issues advisory shares list of places not recommended for traveling,"The Indian Embassy in Thailand has advised its citizens to avoid areas near the Thailand-Cambodia border due to ongoing deadly clashes. Fighting has escalated, involving heavy weaponry and resulting in casualties and mass displacement. The Tourism Authority of Thailand has identified specific restricted zones across seven provinces.",https://timesofindia.indiatimes.com/india/thailand-cambodia-border-clash-indian-embassy-issues-advisory-shares-list-of-places-not-recommended-for-traveling/articleshow/122896889.cms,2025-07-25T11:12:22,Times of India,India,en
Boost to Indias defence DRDO successfully tests UAV-Launched Precision Missile ULPGM-V3 key features,"India has successfully conducted flight trials of the UAV Launched Precision Guided Missile ULPGM-V3 in Andhra Pradesh. Defence Minister Rajnath Singh lauded the achievement, emphasizing the Indian industrys readiness to produce critical defence technologies.",https://timesofindia.indiatimes.com/india/boost-to-indias-defence-drdo-successfully-tests-uav-launched-precision-missile-ulpgm-v3-key-features/articleshow/122894926.cms,2025-07-25T10:42:27,Times of India,India,en
To protect integrity of electoral rolls EC to launch Special Intensive Revision nationwide schedule to be out soon,"The Election Commission has announced a nationwide Special Intensive Revision SIR of electoral rolls to safeguard the integrity of voter lists, citing its constitutional duty. This decision arrives amidst opposition uproar, particularly in Bihar, where concerns about the revision process have been raised.",https://timesofindia.indiatimes.com/india/to-protect-integrity-of-electoral-rolls-ec-to-launch-special-intensive-revision-nationwide-schedule-to-be-out-soon/articleshow/122894668.cms,2025-07-25T09:55:46,Times of India,India,en
"Operation Sindoor Govt says strike was measured, non-escalatory ceasefire held after Pakistan reached out","In response to a barbaric cross-border terror attack by Pakistan-sponsored terrorists, India launched Operation Sindoor to dismantle terrorist infrastructure and neutralize terrorists. Indias actions were focused, measured, and non-escalatory, leading to the destruction of nine terrorist camps. Pakistan requested a cessation of firing, and India has consistently raised concerns with the US over military aid to Pakistan.",https://timesofindia.indiatimes.com/india/operation-sindoor-govt-says-strike-was-measured-non-escalatory-ceasefire-held-after-pakistan-reached-out/articleshow/122894077.cms,2025-07-25T09:33:28,Times of India,India,en
PM Modi in Maldives Visit signals reset in ties whats on the agenda?,,https://timesofindia.indiatimes.com/india/pm-modi-in-maldives-visit-signals-reset-in-ties-whats-on-the-agenda/articleshow/122893300.cms,2025-07-25T09:20:06,Times of India,India,en
Manipur Presidents rule extended for six months effective from August 13,"Presidents rule in Manipur, initially imposed on February 13, 2025, following N. Biren Singhs resignation amidst ethnic violence, has been extended for another six months, effective August 13, 2025.",https://timesofindia.indiatimes.com/india/manipur-presidents-rule-extended-for-six-months-effective-from-august-13/articleshow/122892416.cms,2025-07-25T07:58:00,Times of India,India,en
"With more AI pilots reporting sick after Gujarat crash, DGCA issues circular on mental health","Following the AI-171 crash on June 12, Air India has seen a spike in pilot sick leaves, prompting DGCA intervention. On June 16, 112 Air India pilots reported sick, raising concerns about mental wellbeing. MoS for civil aviation Murlidhar Mohol addressed the issue in Lok Sabha, highlighting DGCAs medical circular on mental health for flight crews and air traffic controllers.",https://timesofindia.indiatimes.com/india/with-more-ai-pilots-reporting-sick-after-gujarat-crash-dgca-issues-circular-on-mental-health/articleshow/122891963.cms,2025-07-25T05:54:33,Times of India,India,en
"Now, India says in UNSC Gaza ceasefire must be put in place",,https://timesofindia.indiatimes.com/india/now-india-says-in-unsc-gaza-ceasefire-must-be-put-in-place/articleshow/122891936.cms,2025-07-25T05:47:24,Times of India,India,en
"Today, PM Modi will beat Indira Gandhi on 2nd-longest stint",,https://timesofindia.indiatimes.com/india/today-pm-modi-will-beat-indira-gandhi-on-2nd-longest-stint/articleshow/122891918.cms,2025-07-25T05:43:15,Times of India,India,en
"There may be a swing or a miss, but we play with straight bat PM Modi","Prime Minister Modi emphasized that the CETA agreement will significantly improve market access for Indian textiles, seafood, and engineering goods in the UK, benefiting Indias youth and MSME sector. The agreement will also make UK medical devices and aerospace components more accessible in India. Furthermore, the Double Contribution Convention will ease the burden on Indian employees working temporarily in the UK.",https://timesofindia.indiatimes.com/india/there-may-be-a-swing-or-a-miss-but-we-play-with-straight-bat-pm-modi/articleshow/122891904.cms,2025-07-25T05:39:27,Times of India,India,en
"PM seeks UKs cooperation to get fugitives back, fight terrorism Vision 2035 roadmap adopted to boost ties","Prime Minister Modi addressed critical issues with his UK counterpart, including the need for unified action against terrorism and the extradition of Indian economic offenders. They launched Vision 2035, a roadmap to enhance collaboration in defense, technology, and education. Both leaders emphasized strengthening multilateral institutions and committed to a fair global trading system, reinforcing their partnership.",https://timesofindia.indiatimes.com/india/india-uk-unveil-road-map-to-boost-defence-tech-energy-ties/articleshow/122891882.cms,2025-07-25T05:32:53,Times of India,India,en
"Proceeds of crime in Vadra land deal used to acquire property, ED tells court","The Enforcement Directorate ED asserted in a Delhi court that Robert Vadra is involved in money laundering through a land deal in Shikohpur village, Gurgaon. The agency claims proceeds of crime were used to acquire properties. False declarations were allegedly made in the land deal involving Vadras Skylight Hospitality, with land later sold to DLF.",https://timesofindia.indiatimes.com/india/proceeds-of-crime-in-vadra-land-deal-used-to-acquire-property-ed-tells-court/articleshow/122891853.cms,2025-07-25T05:23:05,Times of India,India,en
