title,description,url,published_date,source,country,language
Streeting vows to keep disruption to a minimum as doctor strike begins,Hospitals are told to cancel non-urgent work only in exceptional circumstances as a five-day resident doctors strike starts.,https://www.bbc.com/news/articles/c0epel8gd49o,2025-07-25T07:15:19,BBC News,UK,en
The story behind the photograph of a starving Gaza baby,Photographer Ahmed al-Arini told BBC Newshour he had to catch his breath between each photograph.,https://www.bbc.com/news/videos/czryry57x4do,2025-07-24T22:20:30,BBC News,UK,en
Trump to fly into Scotland for golf club visits - and a meeting with Starmer,His private visit is exceptional as US presidents rarely promote their personal interests so publicly while in office.,https://www.bbc.com/news/articles/cg4r4z2gx2qo,2025-07-25T05:02:08,BBC News,UK,en
Samaritans to close more than 100 branches,The charitys chief executive says at least half of their branches will close in the UK and Ireland.,https://www.bbc.com/news/articles/cm2l23ylv46o,2025-07-25T01:08:27,BBC News,UK,en
Kelly Osbourne lost best friend after Ozzys death,"She has made her first comments since her fathers death at the age of 76 on Tuesday, posting lyrics from the song Changes.",https://www.bbc.com/news/articles/cy7n7e6g6x1o,2025-07-25T03:22:46,BBC News,UK,en
Hot weather boosted retail sales in June,"Supermarkets sold more drinks and fuel sales were up as people ventured out, the UK statistics body says.",https://www.bbc.com/news/articles/c3353der4evo,2025-07-25T07:11:18,BBC News,UK,en
Watch Trump jokes he wants Powell to lower interest rates in awkward exchange,The US president and Federal Reserve chair bickered over the cost and timeline of the Feds headquarters renovation project during a tour.,https://www.bbc.com/news/videos/crl0l0xxrxeo,2025-07-24T20:59:01,BBC News,UK,en
"Blood, sweat and tears Look back at Hulk Hogans highs and lows",The all-American hero of wrestling also had a Hollywood career and was one of Donald Trumps biggest fans.,https://www.bbc.com/news/articles/c80p0ynk754o,2025-07-24T18:13:13,BBC News,UK,en
People with gluten allergies to be given cash cards to help pay for their food,One woman who took part in the pilot says it only scratches the surface of food bills.,https://www.bbc.com/news/articles/c0l4d3g4p2do,2025-07-25T05:04:30,BBC News,UK,en
Starmer urged by MPs to recognise Palestinian state,A majority of MPs on the foreign affairs committee urge ministers to make the move immediately.,https://www.bbc.com/news/articles/cly2yky91lpo,2025-07-25T03:24:41,BBC News,UK,en
I can barely do one story. I just feel dizzy - BBCs Gaza freelance journalists tell of struggle for food,Three freelance journalists working for the BBC in Gaza are facing the same dire circumstances as those they are covering.,https://www.bbc.com/news/articles/crmvmj8kkjno,2025-07-24T17:15:51,BBC News,UK,en
"One in five children in Gaza City is malnourished, UN aid agency says",The UN agency for Palestinians says it has thousands of truckloads of supplies near Gaza which it wants to deliver.,https://www.bbc.com/news/articles/cwyxy5k70rzo,2025-07-25T01:06:52,BBC News,UK,en
He went to get aid and didnt come back - stories of people killed in Gaza,"As aid agencies warn of mass starvation, the BBC hears from the relatives of some of those killed in the past week.",https://www.bbc.com/news/articles/cvgn2rwk2lyo,2025-07-24T16:16:52,BBC News,UK,en
Israel and US leave Gaza ceasefire talks in Qatar,US special envoy Steve Witkoff accuses Hamas of showing a lack of desire to reach a ceasefire in Gaza.,https://www.bbc.com/news/articles/crrqrz857wgo,2025-07-25T03:30:27,BBC News,UK,en
Weekly quiz Who rescued Englands Lionesses against Italy?,How much attention did you pay to whats being going on in the world over the past seven days?,https://www.bbc.com/news/articles/cwyxyqdq8lxo,2025-07-24T18:55:37,BBC News,UK,en
The fractured friendship behind the fight at the Thailand-Cambodia border,"The countries have a history of occasional conflict, but this latest fight comes after an old friendship crumbled.",https://www.bbc.com/news/articles/cvg1gdgy2pyo,2025-07-24T22:19:25,BBC News,UK,en
The Papers Threat to NHS from strikes and UK must do more on Gaza,Doctors strikes and the UK response to the humanitarian situation in Gaza lead Fridays papers.,https://www.bbc.com/news/articles/c3enenn3zz2o,2025-07-25T04:21:53,BBC News,UK,en
"Renée Rapp Media training is boring, I cant give fluffy answers",Rapp made headlines by going off script on a press tour for the Mean Girls movie. She has no regrets.,https://www.bbc.com/news/articles/crk6yzg4j3do,2025-07-25T00:13:35,BBC News,UK,en
"Artificial food colours are out, so whats next?","Big food firms are phasing out artificial colours, so tech firms are rushing to fill the gap.",https://www.bbc.com/news/articles/c4g83dpeendo,2025-07-24T23:01:09,BBC News,UK,en
Woman in viral Coldplay concert clip resigns from executive role,The clip showed a man and woman swaying to the music before quickly ducking and hiding from the camera.,https://www.bbc.com/news/articles/cp3l3ldd0j1o,2025-07-24T22:11:31,BBC News,UK,en
Justice department official meets Epstein accomplice Maxwell,The meeting comes as pressure grows on the Trump administration to release files linked to the disgraced financiers sex trafficking network.,https://www.bbc.com/news/articles/cjd2de8zz5go,2025-07-25T03:13:23,BBC News,UK,en
Pro-Palestinian convict freed by France after 41 years,Georges Abdallah will immediately be expelled to his native Lebanon after his release early on Friday.,https://www.bbc.com/news/articles/cvg8gmly8gno,2025-07-25T07:03:56,BBC News,UK,en
More traders to challenge rate-rigging convictions,The traders decision to appeal comes after the victory of two other traders in the Supreme Court,https://www.bbc.com/news/articles/ckglglj7dgdo,2025-07-25T00:07:35,BBC News,UK,en
Raducanu beats Osaka but Venus Williams loses in DC,"Britains Emma Raducana is through to the quarter-finals of the Washington Open after beating Naomi Osaka in straight sets but Cameron Norrie, Dan Evans and Venus Williams lose.",https://www.bbc.com/sport/tennis/articles/ce9x92l298ko,2025-07-24T22:38:40,BBC News,UK,en
"Trade deal on US tariffs within reach, says EU, as 1 August deadline nears","The EU says its negotiators are working might and main on a deal, but the decision rests with US President Trump.",https://www.bbc.com/news/articles/c0565zdjq6vo,2025-07-24T18:35:32,BBC News,UK,en
Five ice hockey players found not guilty in Canada sexual assault case,"The verdict marks the end of the highly publicised case, in which the men were accused of sexually assaulting a woman in 2018.",https://www.bbc.com/news/articles/cn0qlwnyy70o,2025-07-25T01:39:59,BBC News,UK,en
BBC News app,"Top stories, breaking news, live reporting, and follow news topics that match your interests",https://www.bbc.co.uk/news/10628994,2025-04-30T14:04:28,BBC News,UK,en
Mass Starvation Warnings in Gaza,Humanitarian groups urge Israel to allow aid access,https://www.bbc.co.uk/sounds/play/p0ls4b88,2025-07-24T17:55:00,BBC News,UK,en
Donald Trump vs The Wall Street Journal,"Trump has sued the WSJ, but theyre not backing down",https://www.bbc.co.uk/sounds/play/p0ls4709,2025-07-24T17:40:00,BBC News,UK,en
"Speed, stamina and skill - Stokes is now Englands best seamer",Why Ben Stokes is bowling as well as he has ever done after years of knee problems.,https://www.bbc.com/sport/cricket/articles/c70x0njn1n7o,2025-07-24T20:04:14,BBC News,UK,en
"Wiegman not for sale at any price, says FA chief","England manager Sarina Wiegman is not for sale at any price, says the Football Association chief executive officer Mark Bullingham.",https://www.bbc.com/sport/football/articles/cn0z0x8pg9ko,2025-07-24T16:00:25,BBC News,UK,en
Isak wants to explore move away from Newcastle,Alexander Isak wants to explore his options for a move away from Newcastle this summer as he misses the pre-season tour of Asia.,https://www.bbc.com/sport/football/articles/c3d1dv1gpdjo,2025-07-24T17:24:51,BBC News,UK,en
"No need to extend VAR powers, says FA chief",FA chief executive Mark Bullingham says VAR interrupts the game enough and should not have more powers.,https://www.bbc.com/sport/football/articles/c15w5v9l3z3o,2025-07-25T05:37:46,BBC News,UK,en
