title,description,url,published_date,source,country,language
"Its all a game to some politicians, says Labour MP suspended for rebellion over planning bill","Chris Hinchliff says language used is indicative of private schoolboy drinking club culture within governmentChris Hinchliff was surprised when he was called into the whips office at short notice to be told he was no longer a Labour MP because of his campaign to enshrine chalk stream protections in law.Hinchliff, 31, who last summer became the new MP for North East Hertfordshire, was suspended from the parliamentary Labour party, along with three other MPs, because of a small rebellion he organised over the planning and infrastructure bill. Continue reading...",https://www.theguardian.com/environment/2025/jul/25/its-all-a-game-to-some-politicians-says-former-labour-mp-suspended-for-planning-rebellion,2025-07-25T04:00:48,The Guardian,UK,en
"There is a dangerous disconnect on Gaza, politics no longer speaks for the people  Gaby Hinsliff","The government now faces a daunting task to show that societys concerns can be reflected. It will need to do better than thisIt was meant to be a cosy conversation about cooking and new motherhood.But BBC Radio 4s Womans Hour took an unexpectedly bleak turn on Thursday morning, when the chef Yasmin Khan turned suddenly tearful in the middle of promoting her new cookbook, saying she couldnt talk about her own struggles to breastfeed without mentioning the mothers in Gaza unable to provide for their literally starving babies. Continue reading...",https://www.theguardian.com/commentisfree/2025/jul/24/dangerous-disconnect-gaza-politics-no-longer-speaks-people,2025-07-24T18:02:43,The Guardian,UK,en
Englands unashamed icon Chloe Kelly renews starring role at Euro 2025,"Effortless content generators rare gift for catching the eye has been key to the Lionesses run to latest major finalIt was Chloe Kellys wedding anniversary on Thursday. We know this because she posted about it to her 1 million Instagram followers, because everyone saw her personalised shin pad adorned with her wedding photo, and because she joked last week that she still hadnt got her husband, Scott, a card.But then Kelly has always had a rare gift for catching the eye. Her shirt-waving celebration at Wembley remains the defining image of the Euro 2022 triumph. Her trademark headband renders her instantly recognisable in a squad full of above-average-height blond women. Her hop-skip penalty run-up is unique. In a profession where many are naturally wary of being seen to court attention, Kelly is luxuriantly comfortable with being the focus of your gaze. As her teammate Esme Morgan puts it She just doesnt really care what people think. Continue reading...",https://www.theguardian.com/football/2025/jul/24/chloe-kelly-england-women-euro-2025-final,2025-07-24T19:00:37,The Guardian,UK,en
Experience I found a stranger under my hotel bed,"There was an odd smell  I craned my neck to check, and two dark, wide eyes blinked back at me in the darknessIt was early evening in Tokyo this March, and super busy  a whirl of neon signs, street vendors and more people than I could possibly imagine. I was visiting on holiday from my home in Thailand, heading back to my hotel, my belly full of ramen and keen to relax after a day of travelling.By 7.30pm, I was back in my room. I stripped off, put on a sweatshirt and tidied my things. Then I got into bed and started researching train times. After about 20 minutes, I began to feel uneasy and noticed a strange odour  it smelled like a dead animal covered in sugar. Continue reading...",https://www.theguardian.com/lifeandstyle/2025/jul/25/experience-stranger-under-hotel-bed,2025-07-25T04:00:50,The Guardian,UK,en
"He spoke up for me when I was in prison Anthrax, Lamb of God, Rick Wakeman and more share memories of Ozzy Osbourne","After Osbournes death at 76, the heavy metal greats he inspired remember his pranks, generosity and quadruple brandies  and relive the tears at his farewell showBrann Dailor, drumsvocals, Mastodon Continue reading...",https://www.theguardian.com/music/2025/jul/25/he-spoke-up-for-me-when-i-was-in-prison-anthrax-lamb-of-god-rick-wakeman-and-more-share-memories-of-ozzy-osbourne,2025-07-25T04:00:49,The Guardian,UK,en
The Assassin review  Keeley Hawess menopausal hitwoman drama is perfectly crafted TV,"Stylish, witty, tightly written this tale of a retired killer going on the run with her adult son is massively entertaining. Hawes just gets better and betterA menopausal assassin has been a long time coming, even though there is literally no more perfect pairing in the world than a woman rapidly emptying of oestrogen and a gun. I blame the patriarchy, but I understand its unwillingness to confront the truth that if women were free to express themselves instead of raised in mental straitjackets, then armed at 40, the world would look very different indeed.Keeley Hawes, who just gets better and more impressive with every outing, is that menopausal assassin, in the aptly named six-part series The Assassin. Julie is her name and trying to live quietly in Greece and spurning every overture of friendship in the village is her game. Alas, she is called by her handler Damian, after 10 years of quietude, to perform one more time. This happens just as her son Edward Freddie Highmore, absolutely shining in what is essentially a light comic part in a bloody, murderous caper comes to visit for the first time in four years too! Even hitwomen have to juggle home and work demands. Oh, and Edwards gone vegan since they last spoke and she got wagyu steaks in for tea. Handlers and kids, eh? Anyway, Edwards here to ask her about the fortune that landed in his account when he turned 30 and if its anything to do with the father she has always refused to tell him about. She, more or less, tells him to shut up and eat his goddamn tofu. Continue reading...",https://www.theguardian.com/tv-and-radio/2025/jul/25/the-assassin-review-keeley-hawess-menopausal-hitwoman-drama-is-perfectly-crafted-tv,2025-07-25T04:00:50,The Guardian,UK,en
Resident doctors begin five days of strikes in England over pay  UK politics live,"The BMA says resident doctors have seen their pay fall by a much greater amount in real terms since 2008-09 than the rest of the populationLouise Stead, group chief executive of Ashford and St Peters and Royal Surrey NHS Foundation Trusts, told BBC Radio 4s Today programme that around 500 appointments were being rescheduled but most work was continuing.She saidWeve got about 500 appointments over the five days so far taken down, but we are continuing to do about 96 of the work weve had planned.We have obviously become pretty adept at trying to plan for these strikes, but its not something any of us want to do. And its not just actually planning for today.Striking doctors should think carefully if they are really doing the right thing for patients, for the NHS and for themselves.The strike will throttle hard-won progress to cut waiting lists, but NHS trust leaders and staff will be working flat out to see that as many patients as possible get the care they need. Continue reading...",https://www.theguardian.com/politics/live/2025/jul/25/resident-doctors-strike-nhs-england-uk-politics-latest-news-updates-labour,2025-07-25T07:12:28,The Guardian,UK,en
Hungry aid staff fainting as starvation spreads in Gaza and truce hopes fade,"UN agency for Palestinians says entire humanitarian system is collapsing as ceasefire negotiations fall apart Middle East crisis  live updatesThe head of the main UN agency serving Palestinians has said his frontline staff are fainting from hunger, as the number of people dying of starvation in Gaza continued to rise and hopes for a ceasefire faded as negotiations collapsed.This deepening crisis is affecting everyone, including those trying to save lives in the war-torn enclave  when caretakers cannot find enough to eat, the entire humanitarian system is collapsing, Philippe Lazzarini, the head of the United Nations Relief and Works Agency Unrwa, said on Thursday. Continue reading...",https://www.theguardian.com/world/2025/jul/24/hamas-sends-ceasefire-proposal-to-israel-as-starvation-spreads-in-gaza,2025-07-24T21:14:27,The Guardian,UK,en
Samaritans to close at least 100 branches across UK and Ireland,"Mental health charity says it plans to move volunteers into larger regional hubs and pilot remote call handlingSamaritans has announced plans to close at least half of its 200 branches across the UK and Ireland, move volunteers into larger regional hubs and pilot remote call handling, in a shake-up that has left some volunteers dismayed.The mental health charity told volunteers in a video last week it hoped within the next seven to 10 years, our branch network will have reduced by at least half and that it would move to fewer but bigger regions. Continue reading...",https://www.theguardian.com/society/2025/jul/25/samaritans-close-branches-uk-ireland,2025-07-25T06:47:04,The Guardian,UK,en
Rachel Reeves mulls stepping in to save car loan providers billions,"Exclusive Chancellor could overrule supreme court if it upholds entirety of ruling over commission paid to brokersThe chancellor, Rachel Reeves, is considering overruling the supreme court over a 44bn car loan commission scandal after lobbying by some of the UKs biggest lenders, the Guardian can reveal.Under Treasury contingency plans being discussed for the event that justices decide to uphold the entirety of last Octobers shock appeal court ruling that customers may be entitled to billions in compensation, the government would retrospectively change the law to cut liabilities for lenders. Continue reading...",https://www.theguardian.com/business/2025/jul/25/reeves-retrospective-legislation-potential-supreme-court-ruling-44bn-car-finance-scandal,2025-07-25T07:00:52,The Guardian,UK,en
"Thailand-Cambodia border dispute 130,000 Thai civilians evacuated amid second day of clashes","Thailand PM warns cross-border clashes could develop into war as fighting spreads to 12 locations Updates Thailand-Cambodia border clashes  liveThailand has evacuated more than 130,000 people along the Cambodian border, it said on Friday, as the countrys leader warned cross-border clashes could develop into war.Clashes that began on Thursday resumed early on Friday, the Thai military reported, as the two countries fought in their bloodiest military clashes in over a decade.Fighting had taken place in 12 locations along the disputed border, a Thai military official  an expansion of the conflict that erupted a day earlier. This present incident of aggression is escalating and could develop to the stage of war, Thailands acting prime minister Phumtham Wechayachai told reporters in Bangkok. However, right now we are still at altercation level, battling with heavy weapons. What we have done so far are to protect our land and sovereignty of our nation. Continue reading...",https://www.theguardian.com/world/2025/jul/25/thailand-cambodia-border-dispute-thai-evacuation-clashes-conflict,2025-07-25T05:43:20,The Guardian,UK,en
Bill Clinton reportedly sent Jeffrey Epstein note for birthday album,"Wall Street Journal reports ex-presidents letter, while New York Times reports Trump called Epstein the greatestDonald Trump apparently isnt the only president that sent a birthday letter to Jeffrey Epstein. The biggest name in the album was Bill Clinton, the Wall Street Journal reported on Thursday. The ex-presidents letter appeared alongside nearly 50 others, including other prominent celebrities and executives.Last week, the Journal reported that Trump had authored a bawdy letter to Epstein, who died in jail in 2019 after he was arrested on federal sex-trafficking charges. The letter was included in an album Epsteins former girlfriend Ghislaine Maxwell compiled on the occasion of his 50th birthday in 2003. Trump has sued Rupert Murdoch, two Wall Street Journal newspaper reporters and the newspapers publisher Dow Jones for libel and slander over the reporting. Continue reading...",https://www.theguardian.com/us-news/2025/jul/24/bill-clinton-jeffrey-epstein-wall-street-journal-report,2025-07-25T01:59:51,The Guardian,UK,en
