title,description,url,published_date,source,country,language
Wife of missing pilot David Stephens says situation heartbreaking,David Stephens wife says he had the plane recently inspected before he disappeared while flying over the NSW Snowy Mountains en route from Wangaratta in Victoria to Moruya on the NSW south coast.,https://www.abc.net.au/news/2025-07-17/missing-pilot-snowy-mountains-wangaratta-moruya-search/105543624,2025-07-17T07:50:42,ABC News,Australia,en
Live Dolphins and Cowboys clash in vital Queensland derby,"The Dolphins and Cowboys are both outside the top eight, and are coming off losses last weekend. A loss this evening will make their quest for the finals harder as September fast approaches. Follow live.",https://www.abc.net.au/news/2025-07-17/nrl-live-updates-dolphins-cowboys-round-20/105538978,2025-07-17T07:28:22,ABC News,Australia,en
Flu cases spike in WA amid horror July influenza season,The Australian Medical Association fears WA is in the midst of one of the states worst flu seasons as cases soar and vaccination rates dwindle.,https://www.abc.net.au/news/2025-07-17/wa-worst-ever-flu-season-cases-spike/105542060,2025-07-17T07:20:19,ABC News,Australia,en
Double murderer who killed victims with meat cleaver may be released,Scott Alexander McDougall became the first convicted murderer in the ACT more than a decade when he was found guilty of murdering two people.,https://www.abc.net.au/news/2025-07-17/convicted-double-murderer-scott-alexander-mcdougall-released/105543012,2025-07-17T07:19:19,ABC News,Australia,en
"America didnt just watch Albaneses China trip, it sought to shape it","Theatrics and symbolism aside, the trip served as a reminder of the extent to which Australia has returned to Chinas good books.",https://www.abc.net.au/news/2025-07-17/anthony-albanese-china-pandas-first-parliamentary-sitting-week/105529200,2025-07-17T07:04:29,ABC News,Australia,en
How experts say Trump set his own trap on the Epstein files,Donald Trumps derision of some supporters as weaklings is the latest spray in an ongoing attempt to shift the public conversation past calls for the full release of files linked to the Jeffrey Epstein case. Experts say his approach could fall flat with some of his most fervent supporters.,https://www.abc.net.au/news/2025-07-17/experts-say-trump-set-his-own-trap-on-the-epstein-files/105539370,2025-07-17T06:58:48,ABC News,Australia,en
Man jailed for six years for fatal assault outside Darwin shopping centre,"Joseph Wunungmurra, 39, been sentenced for his role in a fatal assault on a man outside the Rapid Creek shopping centre in 2023.",https://www.abc.net.au/news/2025-07-17/joseph-wunungmurra-sentenced-for-rapid-creek-shops-fatal-assault/105541342,2025-07-17T06:48:40,ABC News,Australia,en
New chapter in story of a man who was once a protégé of Gough Whitlam,He once had a chance at the top job in the nation  now Mark Latham is defending himself against allegations of domestic abuse and being involved in a sex tape in his NSW parliamentary office.,https://www.abc.net.au/news/2025-07-17/who-is-mark-latham-former-labor-leader-independent-mp/105543302,2025-07-17T06:46:20,ABC News,Australia,en
Judge scathing of ADFA in sentencing former cadet for rape of colleague,"Former ADFA cadet Angus Robertson is sentenced to almost two years in jail for raping a fellow cadet in her academy room, after the victim told him she would go no further than kissing.",https://www.abc.net.au/news/2025-07-17/act-former-adfa-cadet-angus-robertson-sentenced-rape-jail/105541562,2025-07-17T06:43:38,ABC News,Australia,en
Indonesian police bust baby-trafficking ring that allegedly sold 24 infants,"At least 13 suspects linked to an alleged baby-trafficking ring, which Indonesian police say sold at least 24 infants overseas, have been arrested.",https://www.abc.net.au/news/2025-07-17/24-babies-sold-police-uncover-indonesian-trafficking-ring/105541144,2025-07-17T06:38:57,ABC News,Australia,en
What is mitochondrial donation and why is it called three-person IVF?,Researchers in the United Kingdom have announced the successful birth of eight babies after a clinical trial of an IVF technique known as mitochondrial donation.,https://www.abc.net.au/news/2025-07-17/mitochondria-disease-ivf-monash-university/105541348,2025-07-17T06:29:39,ABC News,Australia,en
"MP Gareth Wards alleged assaults not a coincidence, court hears","Prosecutors say two complainants, unknown to each other, who gave strikingly similar accounts of alleged assaults by NSW MP Gareth Ward, is evidence they are telling the truth.",https://www.abc.net.au/news/2025-07-17/nsw-mp-gareth-ward-prosecution-closing-submissions-trial/105542584,2025-07-17T06:27:08,ABC News,Australia,en
Wife of slain Sunshine Coast man says he was her entire world,"Gry Tømte has written an emotional tribute to her husband, who was allegedly stabbed during a botched break and enter on Sunday night.",https://www.abc.net.au/news/2025-07-17/gry-tomte-pays-tribute-husband-zdravko-zed-bilic/105542664,2025-07-17T05:49:14,ABC News,Australia,en
Loitering charge dropped against neo-Nazi leader Thomas Sewell over Australia Day march,A charge has been dropped against neo-Nazi leader Thomas Sewell over a march through the Adelaide CBD on Australia Day.,https://www.abc.net.au/news/2025-07-17/loitering-charged-dropped-against-thomas-sewell/105542458,2025-07-17T05:43:56,ABC News,Australia,en
"Footballer may have been thrown from ute and fatally injured, court hears",Several witnesses have told the inquest into Brady Hubbards death three West Ulverstone Football Club members lied to others at the club and covered up how he was injured. Those three men have now given evidence.,https://www.abc.net.au/news/2025-07-17/brady-hubbard-inquest-west-ulverstone-football-club/105541552,2025-07-17T05:38:18,ABC News,Australia,en
"Russian mum, daughters found living in Indian cave after overstaying visa","Indian authorities claim 40-year-old Nina Kutina had been living in the cave in the countrys south for more than a week, and say she told police she was interested in staying in the forest and worshipping God.",https://www.abc.net.au/news/2025-07-17/russian-woman-and-daughters-found-living-in-indian-cave/105543068,2025-07-17T05:36:26,ABC News,Australia,en
27-year study of outback reserve offers glimpse into pre-colonial times,Conservationists have offered surprising insights into what small mammal colonies may have looked like before Europeans arrived in Australia.,https://www.abc.net.au/news/2025-07-17/arid-recovery-reserve-invasive-predators-impact-study/105535448,2025-07-17T05:34:54,ABC News,Australia,en
Wallabies bolter to make Test debut in British and Irish Lions opener,Flanker Nick Champion de Crespigny will debut for the Wallabies in their British and Irish Lions series opener while Will Skelton has missed selection.,https://www.abc.net.au/news/2025-07-17/wallabies-squad-announcement-first-test-vs-british-irish-lions/105540924,2025-07-17T05:21:28,ABC News,Australia,en
