title,description,url,published_date,source,country,language
Australia news LIVE Albanese to conclude China visit in Chengdu Trump dumps MAGA supporters over Epstein fallout,"Follow live as we bring you all the news from Australia and beyond on Thursday, July 17.",https://www.smh.com.au/national/australia-news-live-albanese-to-conclude-china-visit-in-chengdu-trump-dumps-maga-supporters-over-epstein-fallout-20250717-p5mfj4.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T18:03:02,Sydney Morning Herald,Australia,en
I hate that Sims hits back at player depth storyline,Marlee Silva and Ruan Sims hit back at commenters on social media who argue that lopsided NRLW scores prove the competitions talent pool is spread too thin.,https://www.smh.com.au/sport/nrl/i-hate-that-sims-hits-back-at-player-depth-storyline-20250717-p5mft3.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:59:01,Sydney Morning Herald,Australia,en
AFL could introduce AFLW-specific stadium Goodwin says flag star wont be moved on,"AFL executives have outlined how the womens game could benefit from its own venue. Meanwhile, Melbourne coach says the Demons are in a much better place now than they were heading into last years trade period.",https://www.smh.com.au/sport/afl/goodwin-brushes-off-talk-of-trading-away-premiership-star-20250717-p5mfrm.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:57:48,Sydney Morning Herald,Australia,en
Sydneys only hatted Sri Lankan restaurant is closing. Hop to it to eat one last hopper,O Tama Careys Lankan Filling Station was awarded a hat in every edition of the Good Food Guide during its seven-year run.,https://www.smh.com.au/goodfood/sydney-eating-out/hatted-restaurant-lankan-filling-station-to-close-20250717-p5mfs8.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:37:30,Sydney Morning Herald,Australia,en
Aussie shares soar as jobless rise lifts rates cut hope,Banks and miners helped push the Australian sharemarket to a record high on Thursday despite a shaky session on Wall Street.,https://www.smh.com.au/business/markets/asx-set-to-rise-wall-street-rattled-as-trump-says-he-has-discussed-firing-fed-chief-20250717-p5mfiw.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:37:01,Sydney Morning Herald,Australia,en
Not killing myself Tszyus reveal ahead of rematch,Tim Tszyu believes an improved preparation for a world title rematch against Sebastian Fundora holds him in good stead.,https://www.smh.com.au/sport/not-killing-myself-tszyus-reveal-ahead-of-rematch-20250717-p5mft0.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:23:39,Sydney Morning Herald,Australia,en
"Keeping up with Pedro Pascal, Brad Pitt and Hollywoods Peter Pans","From wardrobe updates to advanced skincare, the new strategies redefine masculinity off-screen.",https://www.smh.com.au/lifestyle/fashion/keeping-up-with-pedro-pascal-brad-pitt-and-hollywood-s-peter-pans-20250714-p5meu9.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:22:45,Sydney Morning Herald,Australia,en
Father denied bail amid claims baby thrown in water,A father charged over his infant sons drowning has been denied bail after a court heard claims he threw the baby in a campsites lake.,https://www.smh.com.au/national/queensland/father-denied-bail-amid-claims-baby-thrown-in-water-20250717-p5mfsy.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:22:04,Sydney Morning Herald,Australia,en
Timelapse of Hornet plane being installed,"A FA-18A Hornet, A21-022, is craned into the new Anzac Hall, scheduled to be completed in 2026. It is the first time the Hornet has been on permanent display at the Australian War Memorial.",https://www.smh.com.au/national/nsw/timelapse-of-hornet-plane-being-installed-20250717-p5mfm8.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:10:01,Sydney Morning Herald,Australia,en
Man arrested after allegedly ramming into police car during DV incident,A man has been arrested after a police car was rammed into during an alleged domestic violence dispute.,https://www.smh.com.au/national/man-arrested-after-allegedly-ramming-into-police-car-during-dv-incident-20250717-p5mfsr.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:03:58,Sydney Morning Herald,Australia,en
Search for two thieves who took pet staffy Poppy from Perth home,A search is underway for two people after a pet American staffy named Poppy was stolen from a home in Perths outer suburbs.,https://www.smh.com.au/national/search-for-two-thieves-who-took-pet-staffy-poppy-from-perth-home-20250717-p5mfss.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:03:32,Sydney Morning Herald,Australia,en
Search resumes after light plane vanishes,The search has resumed for a plane that failed to land on the New South Wales south coast.,https://www.smh.com.au/national/search-resumes-after-light-plane-vanishes-20250717-p5mfst.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:03:31,Sydney Morning Herald,Australia,en
Search for man after two women pepper-sprayed on train,A search for a man is underway after two women were pepper-sprayed on a Sydney train.,https://www.smh.com.au/national/search-for-man-after-two-women-pepper-sprayed-on-train-20250717-p5mfsu.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:03:30,Sydney Morning Herald,Australia,en
What to stream this week Eric Banas Netflix thriller and five more picks,"An American murder mystery featuring Eric Bana and Sam Neill? Weirdly, weve seen this story before. Plus a much-hyped Stephen King adaptation.",https://www.smh.com.au/culture/tv-and-radio/untamed-netflix-review-eric-bana-the-institute-streaming-20250711-p5mebk.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:00:00,Sydney Morning Herald,Australia,en
Has there been a more consistent horse this Sydney winter than Storm The Ramparts?,Joe Prides runner will be looking to keep the good times rolling on a firmer track.,https://www.smh.com.au/sport/racing/has-there-been-a-more-consistent-horse-this-sydney-winter-than-storm-the-ramparts-20250717-p5mfnc.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T17:00:00,Sydney Morning Herald,Australia,en
Mark Latham slammed after new allegations,A senior minister has lashed Mark Latham after new allegations against the controversial MP emerged.,https://www.smh.com.au/national/mark-latham-slammed-after-new-allegations-20250717-p5mfso.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T16:59:15,Sydney Morning Herald,Australia,en
Trump lashes out over Epstein files,US President Donald Trump has lashed out over calls for the release of the Jeffrey Epstein files.,https://www.smh.com.au/world/trump-lashes-out-over-epstein-files-20250717-p5mfsq.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T16:59:10,Sydney Morning Herald,Australia,en
Unemployment rate jumps for first time this year,The unemployment rate has unexpectedly risen for the first time this year.,https://www.smh.com.au/national/unemployment-rate-jumps-for-first-time-this-year-20250717-p5mfsp.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T16:58:55,Sydney Morning Herald,Australia,en
Man charged with theft of car used in Melbourne synagogue arson attack,A man has been charged in connection to a Melbourne arson attack which gutted a synagogue and left one person injured.,https://www.smh.com.au/national/man-charged-with-theft-of-car-used-in-melbourne-synagogue-arson-attack-20250717-p5mfsf.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T16:38:50,Sydney Morning Herald,Australia,en
Radical three-way IVF could end horrific disease passed on to babies,A breakthrough three-way IVF treatment in the UK resulted in the birth of eight babies.,https://www.smh.com.au/national/radical-three-way-ivf-could-end-horrific-disease-passed-on-to-babies-20250717-p5mfsh.html?ref=rss&utm_medium=rss&utm_source=rss_feed,2025-07-17T16:38:49,Sydney Morning Herald,Australia,en
