title,description,url,published_date,source,country,language
First Nations arrive with some optimism  but mostly skepticism  as Carneys C-5 summit begins,,https://www.cbc.ca/news/indigenous/carney-first-nations-summit-c5-1.7586758?cmp=rss,2025-06-15T22:03:29,CBC News,Canada,en
Egregious Inside legal fights over a Canadian EV battery plant getting 15B in tax breaks,,https://www.cbc.ca/news/canada/windsor/canada-ev-battery-plant-nextstar-contracts-lawsuits-windsor-1.7585769?cmp=rss,2025-07-17T04:01:00,CBC News,Canada,en
"E-scooter injuries on the rise across Canada, data shows","Hospitalizations related to injuries from scooters and e-scooters have risen, according to new Canadian data, as emergency physicians warn the two-wheeled vehicles arent toys.",https://www.cbc.ca/news/health/e-scooter-hospitalizations-1.7586991?cmp=rss,2025-07-17T04:00:00,CBC News,Canada,en
Japanese walking a fun way for some to boost their health,"Its no magic bullet, but a recent TikTok trend could boost your health without too much extra legwork.",https://www.cbc.ca/news/japanese-walking-tiktok-1.7587007?cmp=rss,2025-07-17T04:00:00,CBC News,Canada,en
Astronomers capture 1st close-up photograph of new interstellar visitor,"Using the U.S. National Science Foundations Gemini North telescope in Hawaii, astronomers have captured the first detailed image of our third known cosmic interloper.",https://www.cbc.ca/news/science/photograph-3i-atlas-1.7586424?cmp=rss,2025-07-17T04:00:00,CBC News,Canada,en
"Danielle Smith finds a friendly, anti-Ottawa crowd at the Alberta Next town hall",,https://www.cbc.ca/news/canada/calgary/alberta-next-town-hall-ottawa-danielle-smith-review-1.7586727?cmp=rss,2025-03-23T22:20:10,CBC News,Canada,en
"Income inequality hit record high at start of 2025, Statistics Canada says",,https://www.cbc.ca/news/politics/statistics-canada-income-gap-1.7586634?cmp=rss,2025-02-27T01:07:04,CBC News,Canada,en
Man charged with hijacking one day after flights grounded at Vancouver Airport,"A man has been charged with hijacking, one day after an incident which saw flights grounded at Vancouvers airport for a little under an hour.",https://www.cbc.ca/news/canada/british-columbia/vancouver-airport-man-charged-1.7587054?cmp=rss,2025-07-16T19:03:58,CBC News,Canada,en
This is a scam Poilievre wants rules changed to stop long ballot protests,,https://www.cbc.ca/news/politics/longest-ballot-poilievre-byelection-rule-changes-1.7586576?cmp=rss,2025-03-23T13:31:57,CBC News,Canada,en
Birth of a solar system Astronomers observe early planet formation for 1st time,"Astronomers have discovered the earliest seeds of rocky planets forming in the gas around a baby sun-like star, providing a precious peek into the dawn of our own solar system.",https://www.cbc.ca/news/science/solar-system-creation-1.7586842?cmp=rss,2025-07-16T18:53:01,CBC News,Canada,en
Eugenie Bouchard to retire from tennis at home in Montreal after National Bank Open,"Canadian tennis player Eugenie Bouchard, who reached No. 5 in the WTA rankings in a breakout 2014 season, is retiring from tennis at this years National Bank Open in Montreal.",https://www.cbc.ca/sports/tennis/eugenie-bouchard-retirement-tennis-national-bank-open-1.7586624?cmp=rss,2025-07-16T15:09:00,CBC News,Canada,en
Carney promises to curb non-U.S. steel imports as domestic industry sends out distress signals,,https://www.cbc.ca/news/politics/carney-steel-support-steel-1.7586256?cmp=rss,2025-07-15T10:29:20,CBC News,Canada,en
"Friends who travelled from Canada devastated, but optimistic after fire destroys Tomorrowland main stage","A huge fire on Wednesday at Belgiums Tomorrowland music festival site has severely damaged the main stage two days before the event was due to start, organizers said.",https://www.cbc.ca/news/world/tomorrowland-festival-fire-belgium-1.7586811?cmp=rss,2025-07-16T16:42:30,CBC News,Canada,en
Several hundred people laid off after open pit mining abruptly stops at N.W.T.s Ekati diamond mine,Burgundy Diamond Mines says its laid off some of its employees and contractors and has temporarily stopped open pit mining at Point Lake  one of its two active operations at the Ekati Diamond Mine.,https://www.cbc.ca/news/canada/north/ekati-lay-offs-1.7586925?cmp=rss,2025-07-16T17:35:27,CBC News,Canada,en
RCMP forensics examining pink blanket found during search for missing N.S. children,,https://www.cbc.ca/news/canada/nova-scotia/rcmp-forensic-examining-blanket-found-during-search-of-missing-n-s-children-1.7586162?cmp=rss,2025-06-18T05:01:00,CBC News,Canada,en
I actually cried 1st-time homebuyer enters a northern Ontario market in financial crisis,"Coleen Thompson couldnt afford a home in southern Ontario but closed on her first house in the northern Ontario township of Fauquier-Strickland. Now, Thompson is speaking out as other residents have about the challenges of living in a community facing a financial crisis, while other small municipalities face similar challenges.",https://www.cbc.ca/news/canada/sudbury/fauquier-strickland-homebuyer-1.7585555?cmp=rss,2025-07-16T06:00:00,CBC News,Canada,en
Oil industry continues focus on returning cash to investors over new big projects,,https://www.cbc.ca/news/canada/calgary/alberta-jackie-forrest-charles-st-arnaud-oil-and-gas-1.7584486?cmp=rss,2025-05-09T06:37:57,CBC News,Canada,en
Power restored to 6 northwestern Ontario First Nations after 4-day outage due to wildfires,,https://www.cbc.ca/news/canada/thunder-bay/power-restored-northwestern-ontario-first-nations-1.7586213?cmp=rss,2025-05-05T16:54:43,CBC News,Canada,en
Remember Cambridge Analytica? What to know about the 8B US lawsuit against Metas board,An 8 billion US trial by Meta Platforms shareholders against Mark Zuckerberg and other current and former company leaders kicks off on Wednesday over claims that they illegally harvested the data of Facebook users in violation of a 2012 agreement with the U.S. Federal Trade Commission.,https://www.cbc.ca/news/world/meta-shareholders-lawsuit-begins-1.7586176?cmp=rss,2025-07-16T12:21:32,CBC News,Canada,en
"Canoe Narrows, Sask., under full wildfire evacuation order for 2nd time this year",,https://www.cbc.ca/news/canada/saskatchewan/canoe-narrows-full-evacuation-wildfires-1.7586376?cmp=rss,2025-05-30T06:42:39,CBC News,Canada,en
