title,description,url,published_date,source,country,language
"Budget 2026  le Parti socialiste durcit le ton, sans brandir la censure","Très critiques à légard des orientations budgétaires présentées par François Bayrou, les socialistes présenteront des propositions en septembre et préparent un plan en cas de nouvelle dissolution de lAssemblée nationale.",https://www.lemonde.fr/politique/article/2025/07/17/budget-2026-le-parti-socialiste-pris-dans-la-quadrature-du-cercle_6621682_823448.html,2025-07-17T06:30:05,Le Monde,France,fr
"Georges Ibrahim Abdallah libéré, après quarante ans de détention","A la suite de la décision de la cour dappel, jeudi 17 juillet, le Libanais, condamné pour complicité dassassinats terroristes en 1987, va quitter la prison de Lannemezan Hautes-Pyrénées et être expulsé vers Beyrouth, le 25 juillet.",https://www.lemonde.fr/societe/article/2025/07/17/georges-ibrahim-abdallah-libere-apres-quarante-ans-de-detention_6621698_3224.html,2025-07-17T09:21:21,Le Monde,France,fr
La France met fin à sa présence militaire permanente au Sénégal,"Le camp Geille et lescale aéronautique militaire, située à laéroport de la capitale, doivent être officiellement restitués à lEtat sénégalais, jeudi, lors dune cérémonie à Dakar.",https://www.lemonde.fr/afrique/article/2025/07/17/l-armee-francaise-met-fin-a-sa-presence-permanente-au-senegal_6621701_3212.html,2025-07-17T09:41:31,Le Monde,France,fr
"Au Maroc, règlements de comptes après la fuite à létranger dun ancien chef espion","Des officiers de police proches de Mehdi Hijaouy, ex-haut responsable des renseignements extérieurs poussé à lexil à la suite dun conflit avec sa hiérarchie, sont lobjet de condamnations, tandis que sa famille est ciblée par du harcèlement administratif.",https://www.lemonde.fr/afrique/article/2025/07/17/au-maroc-reglements-de-comptes-apres-la-fuite-a-l-etranger-d-un-ancien-chef-espion_6621683_3212.html,2025-07-17T07:00:02,Le Monde,France,fr
"Laffaire Epstein continue dempoisonner la coalition MAGA, Trump dénonce d anciens partisans qui ont tout gobé à ces conneries",Le président américain fait face à la plus sérieuse division de son socle de fidèles partisans depuis son retour à la Maison Blanche. Son administration est accusée de cacher des éléments dans ce dossier qui irrigue de nombreuses théories complotistes.,https://www.lemonde.fr/international/article/2025/07/17/donald-trump-contre-attaque-apres-les-critiques-de-son-camp-sur-l-affaire-epstein_6621665_3210.html,2025-07-17T04:53:03,Le Monde,France,fr
Club Med  comment Giscard dEstaing a perdu la bataille contre ses patrons chinois,"Le président du Club Med, âgé de 68 ans, a démissionné, mercredi 16 juillet, à la suite des fortes tensions avec son propriétaire Fosun, sur fond de reprise en main par Shanghaï et de divergences stratégiques sur lavenir de lentreprise.",https://www.lemonde.fr/economie/article/2025/07/17/club-med-comment-giscard-d-estaing-a-perdu-son-bras-de-fer-contre-ses-patrons-chinois_6621694_3234.html,2025-07-17T08:28:54,Le Monde,France,fr
"Incendies à Marseille  à lEstaque, la colère et les questions des victimes du feu","Une semaine après lincendie qui a touché une partie des quartiers nord de la ville, des sinistrés remettent en question la stratégie de lutte contre les incendies. Le préfet, lui,  assume tous les choix .",https://www.lemonde.fr/planete/article/2025/07/17/incendies-a-marseille-a-l-estaque-la-colere-et-les-questions-des-victimes-du-feu_6621671_3244.html,2025-07-17T05:15:01,Le Monde,France,fr
"En direct, guerre en Ukraine  les dernières informations","Un bombardement russe a fait au moins deux morts et 26 blessés mercredi à Dobropillia, dans loblast de Donetsk, selon les autorités locales. Un centre commercial a notamment été visé. Les recherches se poursuivaient mercredi soir pour trouver les survivants.",https://www.lemonde.fr/international/live/2025/07/17/en-direct-guerre-en-ukraine-le-point-sur-la-situation-jeudi-17-juillet_6620967_3210.html,2025-07-17T06:35:23,Le Monde,France,fr
"En Syrie, le pouvoir transfère le contrôle de la ville de Souweïda aux  factions  druzes après les bombardements israéliens",Le président Ahmed Al-Charaa a justifié cette décision pour éviter  une guerre ouverte avec lentité israélienne . Larmée syrienne a commencé à se retirer de cette ville à majorité druze après quatre jours daffrontements intercommunautaires qui ont fait plus de 350 morts.,https://www.lemonde.fr/international/article/2025/07/17/syrie-apres-les-frappes-israeliennes-le-president-syrien-annonce-transferer-le-maintien-de-la-securite-a-souweida-a-des-factions-locales-druzes_6621605_3211.html,2025-07-17T06:18:35,Le Monde,France,fr
Jai regretté ce road trip qui a sans doute flingué notre relation   ces voyages qui consolident ou brisent les liens,"Pour un jeune couple ou des amis, les premières vacances font souvent figure de test et peuvent marquer un tournant dans les rapports. Entre ruptures sur les aires dautoroute et complicités renforcées, voici des récits sur lart difficile de laventure partagée.",https://www.lemonde.fr/campus/article/2025/07/17/j-ai-regrette-ce-road-trip-qui-a-sans-doute-flingue-notre-relation-ces-voyages-qui-consolident-ou-brisent-les-liens_6621679_4401467.html,2025-07-17T06:00:19,Le Monde,France,fr
Louest de la Corée du Sud ravagé par des pluies d un niveau observé une fois tous les cent ans,"Dans la province de Chungcheong du Sud, les inondations ont provoqué des évacuations massives et des dégâts matériels considérables. Ce genre de phénomène météorologique extrême est devenu plus fréquent à cause du dérèglement climatique, constatent les scientifiques.",https://www.lemonde.fr/climat/article/2025/07/17/coree-du-sud-pluies-record-et-inondations-historiques-en-raison-du-changement-climatique_6621688_1652612.html,2025-07-17T07:47:40,Le Monde,France,fr
"Travaillés, chômés, obligatoires ou compensés  tout comprendre aux jours fériés","Avec onze jours fériés par an, la France se situe légèrement en deçà de la moyenne européenne. François Bayrou propose den supprimer deux afin de dégager, selon lui, 4,2 milliards deuros déconomies par an.",https://www.lemonde.fr/les-decodeurs/article/2025/07/16/travailles-chomes-obligatoires-ou-compenses-tout-comprendre-aux-jours-feries_6621633_4355770.html,2025-07-16T17:44:39,Le Monde,France,fr
"Dans la ville espagnole de Torre-Pacheco, après lagression dun retraité, lextrême droite attise la violence raciste","Dans cette ville agricole de 40 000 habitants, les tensions avec la commuanuté dorigine marocaine sont extrêmes depuis le 11 juillet. Les partis et groupuscules dextrême droite tentent, depuis, de récupérer le drame.",https://www.lemonde.fr/international/article/2025/07/17/a-torre-pacheco-l-ultradroite-et-l-extreme-droite-espagnoles-attisent-des-affrontements-racistes_6621681_3210.html,2025-07-17T06:06:27,Le Monde,France,fr
Union européenne  la proposition de budget de Bruxelles très contestée,"De ce texte, présenté aux eurodéputés mercredi, dépend la capacité daction financière de lUE. Il fixe le montant des ressources disponibles pour sept ans, les répartit entre les Vingt-Sept et les affecte aux différentes politiques communautaires.",https://www.lemonde.fr/economie/article/2025/07/17/union-europeenne-la-proposition-de-budget-de-bruxelles-tres-contestee_6621659_3234.html,2025-07-17T01:11:44,Le Monde,France,fr
Tour de France 2025  le parcours de la douzième étape,"La douzième étape de la Grande Boucle, longue de 180,6 kilomètres, entre Auch Gers et la station de Hautacam Hautes-Pyrénées, jeudi, marque larrivée du peloton dans les Pyrénées.",https://www.lemonde.fr/sport/article/2025/07/17/tour-de-france-2025-le-parcours-de-la-douzieme-etape_6621689_3242.html,2025-07-17T08:00:03,Le Monde,France,fr
"En Irak, un incendie a détruit un centre commercial de la ville de Kout, au moins 61 personnes tuées","Le gouverneur a décrété trois jours de deuil et affirmé que les autorités engageraient des poursuites contre le propriétaire du centre commercial, ouvert cinq jours auparavant. Une enquête a été ouverte pour déterminer les causes de lincendie.",https://www.lemonde.fr/international/article/2025/07/17/irak-un-incendie-dans-un-centre-commercial-de-kout_6621697_3210.html,2025-07-17T09:08:36,Le Monde,France,fr
"Phil Mickelson, le flamboyant golfeur dévoré par son addiction à largent","Dans une biographie, le journaliste américain Alan Shipnuck dresse le portrait dun sportif capable du meilleur sur les greens, mais sans foi ni loi pour gagner toujours plus. Le Californien, âgé de 55 ans, participe, à partir de ce jeudi, au British Open, en Irlande du Nord.",https://www.lemonde.fr/sport/article/2025/07/17/phil-mickelson-le-flamboyant-golfeur-devore-par-son-addiction-a-l-argent_6621684_3242.html,2025-07-17T07:00:07,Le Monde,France,fr
Euro féminin 2025  les footballeuses italiennes rallient les demi-finales pour la première fois depuis 1997,"Les Azzurre ont battu la Norvège 2-1, mercredi soir à Genève, grâce à un doublé de leur capitaine, Cristiana Girelli. Elles affronteront lAngleterre ou la Suède au prochain tour.",https://www.lemonde.fr/sport/article/2025/07/17/euro-feminin-2025-les-footballeuses-italiennes-rallient-les-demi-finales-pour-la-premiere-fois-depuis-1997_6621700_3242.html,2025-07-17T09:37:47,Le Monde,France,fr
