title,description,url,published_date,source,country,language
"The mystery of Nina Kutina What next for the Russian woman, her kids found in Karnataka forest? 5 questions answered",,https://indianexpress.com/article/india/nina-kutina-what-next-russian-woman-kids-found-karnataka-forest-10132223/,2025-07-17T08:06:04,Indian Express,India,en
"Adopt AI in governance, including statistics and policy-making Tripura Minister Bikas Debbarma",,https://indianexpress.com/article/india/adopt-ai-in-governance-statistics-policy-making-tripura-minister-bikas-debbarma-10132120/,2025-07-17T07:23:06,Indian Express,India,en
Morning shooting rocks Patna hospital as gunmen target notorious criminal out on parole,,https://indianexpress.com/article/india/patna-paras-hospital-shooting-notorious-criminal-10132101/,2025-07-17T07:08:58,Indian Express,India,en
Gold trail leads to revival of cash-for-votes case against Tamil Nadu BJP chief,,https://indianexpress.com/article/india/gold-trail-revival-cash-for-votes-case-tamil-nadu-bjp-chief-10132038/,2025-07-17T06:57:06,Indian Express,India,en
"Odisha Bandh Today Normal life affected as Cong, other party leaders hit streets over student suicide",,https://indianexpress.com/article/india/odisha-bandh-today-congress-opposition-parties-student-suicide-10131824/,2025-07-17T06:00:16,Indian Express,India,en
Supreme Court refuses to stay probe against former Congress minister,,https://indianexpress.com/article/india/supreme-court-refuses-stay-probe-former-congress-minister-10131887/,2025-07-17T05:42:24,Indian Express,India,en
Demolition of Satyajit Rays ancestral home in Bangladesh halted,,https://indianexpress.com/article/india/satyajit-ray-ancestral-home-demolition-bangladesh-halted-10131849/,2025-07-17T05:28:31,Indian Express,India,en
Amarnath Yatra halted for a day after heavy rain damages tracks,,https://indianexpress.com/article/india/amarnath-yatra-day-heavy-rain-tracks-10131745/,2025-07-17T04:31:13,Indian Express,India,en
"Flood alert in Varanasi as Ganga in spate, ghats submerged",,https://indianexpress.com/article/india/varanasi-flood-alert-ganga-water-level-rise-10131637/,2025-07-17T04:05:42,Indian Express,India,en
Tell them you love them Shubhanshu Shuklas heartwarming note as he reunites with family after historic ISS mission,,https://indianexpress.com/article/india/shubhanshu-shukla-message-reunites-family-iss-mission-10131679/,2025-07-17T03:54:54,Indian Express,India,en
