title,description,url,published_date,source,country,language
Kerala Education Minister calls for urgent safety audit at schools after students death by electrocution,Minister Sivankutty says government routinely issues checklist for school managements to tick off before reopening,https://www.thehindu.com/news/national/kerala/kerala-education-minister-calls-for-urgent-safety-audit-at-schools-after-students-death-by-electrocution/article69822324.ece,2025-07-17T13:28:14,The Hindu,India,en
"AI 171 crew deserve respect, not unfounded character judgment Pilots association ALPA India","The crew of AI 171 made every possible effort  till their very last breath  to protect the passengers on board and minimize harm on the ground. They deserve respect, not unfounded character judgments, says The Air Line Pilots Association - India",https://www.thehindu.com/news/national/ai-171-crew-deserve-respect-not-unfounded-character-judgment-pilots-association-alpa-india/article69822331.ece,2025-07-17T13:20:58,The Hindu,India,en
"Hyderabad stands sixth in Swachh Surevekshan 2024-25, scores 100 in cleanliness",,https://www.thehindu.com/news/cities/Hyderabad/hyderabad-stands-sixth-in-swachh-surevekshan-2024-25-scores-100-in-cleanliness/article69822304.ece,2025-07-17T13:20:08,The Hindu,India,en
"India can secure oil even if Russian imports sanctioned, says Oil Minister Puri","He noted there are many new suppliers coming into the market, such as Guyana, and there is supply from existing producers such as Brazil and Canada.",https://www.thehindu.com/news/national/india-can-secure-oil-even-if-russian-imports-sanctioned-says-oil-minister-puri/article69822315.ece,2025-07-17T13:18:30,The Hindu,India,en
"Two arrested with MDMA, hashish oil and cannabis in hotel raid in Keralas Kannur",,https://www.thehindu.com/news/national/kerala/two-arrested-with-mdma-hashish-oil-and-cannabis-in-hotel-raid-in-keralas-kannur/article69822312.ece,2025-07-17T13:12:28,The Hindu,India,en
Akash Prime successfully tested in Ladakh by Indian Army,"Akash Prime is an upgraded version of the Akash system, equipped with an indigenous active Radio Frequency RF seeker for enhanced precision irrespective of weather and terrain.",https://www.thehindu.com/news/national/akash-prime-successfully-tested-in-ladakh-by-indian-army/article69822280.ece,2025-07-17T13:05:25,The Hindu,India,en
"Two tribals killed, 19 injured as mini goods carrier topples near Aliyar in Coimbatore",The police said that the accident occurred around 8.15 a.m. when the vehicle carrying 20 persons from Navamalai  15 men and five women  approached Chinnarpathi on the Pollachi-Valparai Road,https://www.thehindu.com/news/national/tamil-nadu/two-tribals-killed-19-injured-as-mini-goods-carrier-topples-near-aliyar-in-coimbatore/article69822192.ece,2025-07-17T13:02:07,The Hindu,India,en
Senior Maoist couple surrenders before Telanganas Rachakonda Police after 45 years underground,The couple expressed their desire to live peacefully with their families and give up the armed movement they were part of for over four decades,https://www.thehindu.com/news/national/telangana/senior-maoist-couple-surrenders-before-telanganas-rachakonda-police-after-45-years-underground/article69822204.ece,2025-07-17T12:54:57,The Hindu,India,en
Rahul Gandhi slams Election Commission over Bihar Special Intensive Revision of electoral rolls,Opposition parties have asserted that the ongoing exercise will disfranchise crores of eligible Indian citizens for the want of citizenship documents.,https://www.thehindu.com/elections/bihar-assembly/rahul-gandhi-slams-election-commission-over-bihar-special-intensive-revision-of-electoral-rolls/article69822220.ece,2025-07-17T12:53:48,The Hindu,India,en
Kerala government sanctions 100 crore for paddy procurement,Amount meant for subsidy for paddy procurement in March and April this year,https://www.thehindu.com/news/national/kerala/kerala-government-sanctions-100-crore-for-paddy-procurement/article69822213.ece,2025-07-17T12:42:00,The Hindu,India,en
Raichur fort illumination to be completed by end of July,The district administration and the Raichur City Corporation have jointly taken up the initiative,https://www.thehindu.com/news/national/karnataka/raichur-fort-illumination-to-be-completed-by-end-of-july/article69819552.ece,2025-07-17T12:40:04,The Hindu,India,en
Monsoon continues to disrupt life across Himachal Pradesh claims 109 lives in nearly one month,"Of these, 64 people lost their lives in rain-related incidents, while 45 died in road accidents, underlining the extensive human toll of this years monsoon fury, as per a State report",https://www.thehindu.com/news/national/himachal-pradesh/monsoon-continues-to-disrupt-life-across-himachal-pradesh-claims-109-lives-in-nearly-one-month/article69822144.ece,2025-07-17T12:33:01,The Hindu,India,en
One killed after eviction drive in Assams Goalpara turns violent,"This was the second operation in the Paikan Reserve Forest since July 12, when about 140 hectares were cleared of encroachment",https://www.thehindu.com/news/national/assam/one-killed-several-injured-in-clash-between-evicted-people-security-forces-in-assam/article69822185.ece,2025-07-17T12:27:40,The Hindu,India,en
CBI facilitated return of 134 fugitives from abroad in past 5 years officials,"The process of extradition has three stages issuance of a Red Notice by Interpol, geolocation of the fugitive, and third, extradition after legal and diplomatic manoeuvres, all of which are time-consuming processes.",https://www.thehindu.com/news/national/cbi-facilitated-return-of-134-fugitives-from-abroad-in-past-5-years-officials/article69822123.ece,2025-07-17T12:24:01,The Hindu,India,en
Electrocution of school student Kerala government orders inquiry,Minister Sivankutty says Director of General Education has been dispatched to accident site in Kollam to investigate the episode and give a detailed report,https://www.thehindu.com/news/national/kerala/electrocution-of-school-student-kerala-government-orders-inquiry/article69822119.ece,2025-07-17T12:12:26,The Hindu,India,en
Student dies after coming into contact with live wire at school in Keralas Kollam,"According to reports, 13-year-old was electrocuted while trying to retrieve a slipper that had fallen onto the roof of bicycle shed",https://www.thehindu.com/news/national/kerala/student-dies-after-coming-into-contact-with-live-wire-at-school-in-keralas-kollam/article69822076.ece,2025-07-17T12:10:15,The Hindu,India,en
Kavitha demands Telangana CMs resignation over Banakacherla project,"If Revanth Reddy does not lead an all-party delegation to Delhi during the upcoming Parliament sessions, Jagruti will go to Delhi and fight on behalf of Telangana, warned Kavitha",https://www.thehindu.com/news/national/telangana/kavitha-demands-telangana-cms-resignation-over-banakacherla-project/article69822044.ece,2025-07-17T12:06:55,The Hindu,India,en
Trust moves Madras High Court against party flag of Vijays TVK,"Thondai Mandala Saandror Dharma Paribalana Sabai, a trust based in Chennai, claims that the TVK flag is deceptively similar to its registered trademark",https://www.thehindu.com/news/national/tamil-nadu/chennai-based-trust-moves-madras-high-court-to-restrain-vijays-tvk-from-using-partys-flag/article69821779.ece,2025-07-17T12:00:57,The Hindu,India,en
Cleanliness survey Indore retains top ranking for 8th time,"Surat, Navi Mumbai came second and third respectively",https://www.thehindu.com/news/national/cleanliness-survey-indore-retains-top-ranking-for-8th-time/article69822120.ece,2025-07-17T12:00:14,The Hindu,India,en
"Harish Rao peddling lies, KCR running away from Banakacherla debate in Assembly Telangana Congress president",,https://www.thehindu.com/news/national/telangana/harish-rao-peddling-lies-kcr-running-away-from-banakacherla-debate-in-assembly-telangana-congress-president/article69822012.ece,2025-07-17T11:43:59,The Hindu,India,en
Prisoner admitted in private hospital shot dead in Patna,"According to the police, the deceased was identified as Chandan Mishra, a resident of Buxar district and he was a dreaded criminal and imprisoned in Beur Jail in connection with a murder case.",https://www.thehindu.com/news/national/bihar/prisoner-admitted-in-private-hospital-shot-dead-in-patna/article69822011.ece,2025-07-17T11:32:51,The Hindu,India,en
Midnight makeovers and million-dollar coats inside Hyderabads hub of aviation artistry,"Tucked away in a hangar on the edge of the airport, GMR Aero Technic is doing more than just routine maintenance its redefining what aircraft transformation looks like, one flawless coat at a time.",https://www.thehindu.com/news/cities/Hyderabad/midnight-makeovers-and-million-dollar-coats-inside-hyderabads-hub-of-aviation-artistry/article69818693.ece,2025-07-17T11:16:48,The Hindu,India,en
