title,description,url,published_date,source,country,language
Aprindo tidak akan tarik beras oplosan tanpa instruksi resmi,"Ketua Umum Asosiasi Pengusaha Ritel Indonesia Aprindo Solihin menyebutkan, pihaknya belum akan menarik beras premium ...",https://www.antaranews.com/berita/4972849/aprindo-tidak-akan-tarik-beras-oplosan-tanpa-instruksi-resmi,2025-07-17T15:08:22,Antara News,Indonesia,id
Polisi tangkap dua pelaku tawuran yang tewaskan satu orang di Ciracas,"Polisi menangkap dua pelaku tawuran yang mengakibatkan satu orang tewas di Jalan Taruna Jaya, Kelurahan Cibubur, ...",https://www.antaranews.com/berita/4972845/polisi-tangkap-dua-pelaku-tawuran-yang-tewaskan-satu-orang-di-ciracas,2025-07-17T15:02:30,Antara News,Indonesia,id
Hana Bank hadirkan produk simpanan fleksibel dengan bunga 6 persen,PT Bank KEB Hana Indonesia Hana Bank menghadirkan produk simpanan yang memberikan fleksibilitas bagi nasabah dengan ...,https://www.antaranews.com/berita/4972841/hana-bank-hadirkan-produk-simpanan-fleksibel-dengan-bunga-6-persen,2025-07-17T15:02:19,Antara News,Indonesia,id
Semen Indonesia andalkan AI dan digitalisasi jaga kelancaran pasokan,BUMN PT Semen Indonesia Persero Tbk mengoptimalkan digitalisasi dan kecerdasan buatan atau artificial intelligence AI ...,https://www.antaranews.com/berita/4972837/semen-indonesia-andalkan-ai-dan-digitalisasi-jaga-kelancaran-pasokan,2025-07-17T15:00:28,Antara News,Indonesia,id
"DJI Agras T100, T70P, dan T25P Diluncurkan secara Global","DJI, pemimpin pasar pesawat nirawak untuk kepentingan sipil civilian drone dan teknologi kamera kreatif di dunia, ...",https://www.antaranews.com/berita/4972829/dji-agras-t100-t70p-dan-t25p-diluncurkan-secara-global,2025-07-17T14:58:02,Antara News,Indonesia,id
Menaker sebut pentingnya peningkatan skill SDM sektor energi hijau,Menteri Ketenagakerjaan Menaker Yassierli menekankan pentingnya peningkatan kompetensi skill tenaga kerja sebagai ...,https://www.antaranews.com/berita/4972825/menaker-sebut-pentingnya-peningkatan-skill-sdm-sektor-energi-hijau,2025-07-17T14:55:36,Antara News,Indonesia,id
"Menkeu Penyaluran bansos sembako capai Rp20,26 triliun per 9 Juli","Menteri Keuangan Sri Mulyani Indrawati menyatakan penyaluran bantuan sosial bansos sembako telah mencapai Rp20,26 ...",https://www.antaranews.com/berita/4972821/menkeu-penyaluran-bansos-sembako-capai-rp2026-triliun-per-9-juli,2025-07-17T14:54:05,Antara News,Indonesia,id
Menteri PPPA sebut anak-anak di Bantar Gebang hebat,"Menteri Pemberdayaan Perempuan dan Perlindungan Anak PPPA, Arifah Fauzi mengatakan bahwa anak-anak di kampung ...",https://www.antaranews.com/berita/4972817/menteri-pppa-sebut-anak-anak-di-bantar-gebang-hebat,2025-07-17T14:51:30,Antara News,Indonesia,id
Persib bawa 24 pemain jalani pemusatan latihan di Thailand,Klub BRI Super League Persib Bandung membawa 24 pemain untuk menjalani pemusatan latihan di Thailand dalam rangka ...,https://www.antaranews.com/berita/4972813/persib-bawa-24-pemain-jalani-pemusatan-latihan-di-thailand,2025-07-17T14:50:56,Antara News,Indonesia,id
Sedikitnya 25 bayi jadi korban perdagangan orang ke Singapura,Sejumlah tersangka digiring untuk dihadirkan saat rilis pengungkapan kasus perdagangan manusia dengan korban bayi di ...,https://www.antaranews.com/foto/4972809/sedikitnya-25-bayi-jadi-korban-perdagangan-orang-ke-singapura,2025-07-17T14:50:14,Antara News,Indonesia,id
