title,description,url,published_date,source,country,language
"Lo spettacolo esce dalla pandemia, nel 2024 boom di jazz e teatro",I concerti trainano il settore. Max Pezzali in top 10 spettatori,https://www.ansa.it/sito/notizie/cultura/2025/07/16/lo-spettacolo-fuori-esce-dalla-pandemia-nel-2024-boom-jazz-e-teatro_b0e72f08-9ff1-4976-8f8e-6c9d4ab18a7a.html,2025-07-16T18:56:20,ANSA,Italy,it
"Giornata mondiale delle emoji, ogni giorno ne vengono inviate 10 miliardi","La più popolare è il cuore, quelle approvate quasi a quota 4mila",https://www.ansa.it/canale_tecnologia/notizie/web_social/2025/07/16/giornata-mondiale-emoji-ogni-giorno-10-miliardi-quelle-inviate_de432d1d-8c07-4dfa-850f-f1ddf9a66fc9.html,2025-07-17T10:00:22,ANSA,Italy,it
The Bear porta i fan nella casa di Frank Lloyd Wright,In episodio della nuova stagione Carmy Berzatto ci trova pace,https://www.ansa.it/sito/notizie/cultura/tv/2025/07/16/the-bear-porta-i-fan-nella-casa-di-frank-lloyd-wright_360381a7-e533-4ab0-9d82-adafc8009e1b.html,2025-07-16T18:33:41,ANSA,Italy,it
Nel Museo della moda a Firenze entrano 40 abiti del 900,"Da flapper girls ai sobri anni 30, fino alle paillettes di Coveri",https://www.ansa.it/canale_lifestyle/notizie/moda/2025/07/16/nuovo-allestimento-museo-moda-di-firenze-con-40-abiti-del-900_334b1a7d-2bca-4077-8d47-0a75d939472c.html,2025-07-16T20:01:51,ANSA,Italy,it
"Urbanistica di Milano sotto accusa indagato anche Sala, chiesti 6 arresti",Il sindaco Allucinante apprendere da un giornale di essere indagato. La Procura vuole i domiciliari per lassessore Tancredi e limprenditore Catella. Perquisizioni in Comune. Coinvolto larchistar Boeri,https://www.ansa.it/lombardia/notizie/2025/07/17/urbanistica-di-milano-sotto-accusa-indagato-anche-sala-chiesti-6-arresti_8b50acc0-f9b4-4cd0-8663-b69b872fe91d.html,2025-07-17T09:10:30,ANSA,Italy,it
LUe vara un bilancio da duemila miliardi ma è scontro. La Germania Inaccettabile,Von der Leyen Il più ambizioso di sempre. La trincea del Pe,https://www.ansa.it/sito/notizie/economia/2025/07/16/lue-vara-un-bilancio-da-duemila-miliardi-ma-e-scontro_52edcdb4-5941-4995-aba3-2400810c16db.html,2025-07-17T07:41:44,ANSA,Italy,it
"Gruppi online di estrema destra, arrestato 21enne",Disposte 26 perquisizioni in tutta Italia,https://www.ansa.it/sito/notizie/cronaca/2025/07/17/gruppi-online-di-estrema-destra-arrestato-21enne_04ca24fb-3087-424a-98ab-bceb0aed0aaf.html,2025-07-17T09:13:33,ANSA,Italy,it
"Massiccio raid di droni ucraini sulla Russia, abbattuti 122",Oltre 40 volavano sulla regione di Bryansk,https://www.ansa.it/sito/notizie/mondo/europa/2025/07/17/massiccio-raid-di-droni-ucraini-sulla-russia-abbattuti-122_191b90f1-b7b0-4894-bc21-fc60e4b4c96a.html,2025-07-17T08:46:50,ANSA,Italy,it
"Siria, Sharaa mantenimento sicurezza a Sweida passa ai drusi","La mediazione Usa essenziale, puniremo responsabili abusi",https://www.ansa.it/sito/notizie/mondo/mediooriente/2025/07/17/siria-sharaa-mantenimento-sicurezza-a-sweida-passa-ai-drusi_8d38988f-34d2-4cb5-b8af-b8ac0af2caa0.html,2025-07-17T06:04:14,ANSA,Italy,it
"Resta il taglio dei vitalizi, respinto il ricorso di 800 ex deputati",Era contro la delibera del 2018. Tanti i vip in attesa,https://www.ansa.it/sito/notizie/politica/2025/07/16/resta-taglio-vitalizi-respinto-ricorso-800-ex-deputati_21bf7311-c342-4509-b3d8-85d6aebaad28.html,2025-07-16T22:14:49,ANSA,Italy,it
"Perde lequilibrio a cade, operaio morto nel Napoletano","Tragedia mentre installava un condizionatore, soccorsi inutili",https://www.ansa.it/campania/notizie/2025/07/17/perde-lequilibrio-a-cade-operaio-morto-nel-napoletano_51072891-5d37-4c58-9319-cb167b0bf82a.html,2025-07-17T09:36:42,ANSA,Italy,it
Urso Ho accompagnato mia moglie e sono andato al ministero,"Il ministro dopo la polemica Se è successo qualcosa di spiacevole non me ne sono accorto, ero al telefono",https://www.ansa.it/sito/notizie/politica/2025/07/16/urso-ho-accompagnato-mia-moglie-e-sono-andato-al-ministero_b93139ed-547a-410e-82aa-285fd4683e27.html,2025-07-16T20:25:56,ANSA,Italy,it
"Apollo-Soyuz, 50 anni fa prima stretta di mano in orbita","Fra Usa e Urss, apriva la via alla Stazione Spaziale Internazionale",https://www.ansa.it/sito/videogallery/mondo/2025/07/16/apollo-soyuz-50-anni-fa-prima-stretta-di-mano-in-orbita_fdd5eaae-585c-4fe7-8dd1-23f65de2deb0.html,2025-07-17T07:15:26,ANSA,Italy,it
"Euro donne 2-1 alla Norvegia, lItalia vola in semifinale",Una doppietta di Girelli decide il primo quarto del torneo,https://www.ansa.it/sito/notizie/sport/2025/07/16/euro-donne-2-1-alla-norvegia-litalia-vola-in-semifinale-_f9247d52-0dc1-4b1d-8b7a-3fea6f1f679e.html,2025-07-16T23:25:13,ANSA,Italy,it
"PRIME PAGINE  Urbanistica di Milano nella bufera, chiesti sei arresti",,https://www.ansa.it/sito/podcast/ansa_voice_daily/2025/07/17/prime-pagine-urbanistica-di-milano-nella-bufera-chiesti-sei-arresti_9fe38b72-d3fc-4227-994b-83b53394e858.html,2025-07-17T07:57:23,ANSA,Italy,it
"Sparatoria a Taranto, un morto e tre feriti",Due sono gravi. Il conflitto a fuoco al rione Tamburi,https://www.ansa.it/puglia/notizie/2025/07/16/sparatoria-a-taranto-un-morto-e-tre-feriti_0be7143a-5c99-415d-b544-54fda9199857.html,2025-07-17T00:32:12,ANSA,Italy,it
Morto giovane ciclista dopo caduta in una gara under 23,Violento trauma cranico durante Giro Valle dAosta,https://www.ansa.it/valledaosta/notizie/2025/07/16/morto-giovane-ciclista-dopo-caduta-in-una-gara-under-23_632d4767-8180-446e-b47d-e7f8f6a3c18b.html,2025-07-17T09:19:12,ANSA,Italy,it
"Dazi, Sefcovic vola a Washington, si tenta la stretta",Trump punta farmaci e chip. Berlino e Parigi Pronti a reagire,https://www.ansa.it/sito/notizie/mondo/2025/07/16/dazi-sefcovic-vola-a-washington-si-tenta-la-stretta-_09f4d4c5-5a9f-4c4e-ade7-a4a5a1320680.html,2025-07-16T20:15:00,ANSA,Italy,it
Trump si prepara a silurare Powell Pronta la lettera,Lui nega ma minaccia il licenziamento per frode. Via al totonomi,https://www.ansa.it/sito/notizie/mondo/nordamerica/2025/07/16/trump-si-prepara-a-silurare-powell-pronta-la-lettera_8b4b1f86-4870-440d-8ac7-a439798640c5.html,2025-07-17T07:31:51,ANSA,Italy,it
"Andreas Tonelli, biker estremo ed influencer, muore dopo una caduta in bici in Val Gardena","Conosciuto per le acrobazie estreme, aveva 120 mila follower",https://www.ansa.it/sito/notizie/cronaca/2025/07/16/andreas-tonelli-biker-estremo-ed-influencer-muore-dopo-una-caduta-in-bici_2a13bdec-f5ed-4dbe-b45f-c784cddff9e3.html,2025-07-17T07:27:43,ANSA,Italy,it
"Martina Scialdone uccisa davanti a ristorante, per lex sconto pena","Dallergastolo a 24 anni, cade la premeditazione. Madre Ingiustizia",https://www.ansa.it/sito/notizie/cronaca/2025/07/16/martina-scialdone-uccisa-davanti-a-ristorante-per-lex-sconto-pena-_c5971f94-841c-4755-a4d8-1dba8a2225a2.html,2025-07-16T20:28:30,ANSA,Italy,it
"Stronzetta alla giornalista, poi Pichetto si scusa","Ho usato unespressione inappropriata, voleva essere scherzosa",https://www.ansa.it/sito/notizie/economia/2025/07/16/stronzetta-alla-giornalista-poi-pichetto-si-scusa_e404a531-a780-4139-b0d0-0c6d9b12c8fd.html,2025-07-17T09:14:16,ANSA,Italy,it
Stellantis raddoppia in Marocco entro il 2030,"Secondo Bloomberg investimento da 1,2 miliardi su auto elettrica",https://www.ansa.it/sito/notizie/economia/2025/07/17/stellantis-raddoppia-in-marocco-entro-il-2030_ed155677-c420-4c86-8248-119f84ec131d.html,2025-07-17T09:55:08,ANSA,Italy,it
"Viola i limiti di velocità, patente sospesa a Emma Watson","Mega multa allattrice, ora studentessa nellateneo di Oxford",https://www.ansa.it/sito/notizie/cultura/cinema/2025/07/17/viola-i-limiti-di-velocita-patente-sospesa-a-emma-watson_06c9ac65-5059-4910-87b1-04d52b117de6.html,2025-07-17T09:38:25,ANSA,Italy,it
