title,description,url,published_date,source,country,language
Search still on for dog that attacked a 5-year-old girl in Canterbury,The seriously injured child is recovering from surgery while the animal is still at large.,https://www.stuff.co.nz/nz-news/360761837/search-still-dog-attacked-5-year-old-girl-canterbury,2025-07-17T07:56:21,Stuff,New Zealand,en
I dont know whats happening Rebel rugby comp just one option for RTS,Roger Tuivasa-Sheck is considering leaving the Warriors for a lucrative rugby contract in a competition that hasnt even gotten off the ground yet.,https://www.stuff.co.nz/sport/360761809/roger-tuivasa-sheck-confirms-contract-talks-return-rugby,2025-07-17T07:50:17,Stuff,New Zealand,en
The Buddhist monk sex scandal thats gripping Thailand,A sex scandal involving more than a dozen Buddhist monks and an alleged seductress known as Golf has been gripping Thailand.,https://www.stuff.co.nz/world-news/360761842/buddhist-monk-sex-scandal-thats-gripping-thailand,2025-07-17T07:34:53,Stuff,New Zealand,en
Nostalgia quiz What were these dolls called?,Stuff nostalgia quiz July 17,https://www.stuff.co.nz/quizzes/360690742/stuff-quiz-nostalgia-july-17-2025,2025-07-17T07:00:00,Stuff,New Zealand,en
Light fitting fire shuts Queen St in downtown Auckland,Police blocked Queen St at the Victoria St intersection late afternoon Thursday.,https://www.stuff.co.nz/nz-news/360761753/police-block-queen-st-central-auckland,2025-07-17T06:42:26,Stuff,New Zealand,en
Three more measles cases confirmed in Wairarapa and Manawatū,"All new patients were placed in quarantine, but public health authorities discovered that the Manawatū case may have been briefly infectious before isolating.",https://www.stuff.co.nz/nz-news/360761819/three-more-measles-cases-confirmed-wairarapa-and-manawatu,2025-07-17T06:37:38,Stuff,New Zealand,en
"R is for reclining Everything to know about plane seats, from A to Z","In the heyday of the Boeing 707, the distance between the back of your seat and the back of the seat in front was a generous 86 centimetres. Today its more likely 79cm.",https://www.stuff.co.nz/travel/360760746/r-reclining-everything-know-about-plane-seats-z,2025-07-17T06:30:00,Stuff,New Zealand,en
"Girl who died in Fiordland drowning missed every moment, every day",Tegan Chens parents hope their story can encourage others who are going through difficult times.,https://www.stuff.co.nz/nz-news/360761801/girl-who-died-fiordland-drowning-missed-every-moment-every-day,2025-07-17T06:19:46,Stuff,New Zealand,en
I want genuine competition Minister to speak to Fonterra as butter price surges,"I want to see genuine competition, she said. I have asked why does it seem sometimes prices for butter in an Australian supermarket are cheaper than they are in New Zealand.",https://www.stuff.co.nz/politics/360761108/nicola-willis-speak-fonterra-butter-price-surges-nearly-50,2025-07-17T06:17:17,Stuff,New Zealand,en
Grieving family offered breast milk for baby as community rallies,"Frances Latu-Vailea died alongside daughter Oneahi, and niece Marly, in the crash outside Waiuku.",https://www.stuff.co.nz/nz-news/360760513/gone-too-soon-mum-dies-daughter-and-young-relative-waiuku-crash,2025-07-17T06:02:22,Stuff,New Zealand,en
Independent Together group shrinks to eight,"Thirteen candidates are whittled down to eight, with Lily Brown the latest to jump ship.",https://www.stuff.co.nz/nz-news/360760852/13-candidates-independent-together-group-dwindles-eight,2025-07-17T06:00:00,Stuff,New Zealand,en
FLOX at 20 How street artist Hayley King built an empire on her own terms,"The artist behind FLOX reflects on two decades of creative independence, family life, and proving artists can be their own bosses.",https://www.stuff.co.nz/wellbeing/360750884/flox-20-how-street-artist-hayley-king-built-empire-her-own-terms,2025-07-17T06:00:00,Stuff,New Zealand,en
Watch Ground squirrels are taking over a US city and officials are not amused,Joshua Herman said fighting the squirrels is akin to one guy standing against a massive storm.,https://www.stuff.co.nz/world-news/360761785/ground-squirrels-are-taking-over-us-city-and-officials-are-not-amused,2025-07-17T05:59:25,Stuff,New Zealand,en
One person dead after crashing into fence in Napier,"Police said they were alerted to the serious single-vehicle crash on Neeve Rd, at the intersection of Harrow St, in Taradale.",https://www.stuff.co.nz/nz-news/360761335/road-closed-napier-after-car-crashes-fence,2025-07-17T05:53:41,Stuff,New Zealand,en
"Hours before an Australian council meeting, an anti-corruption commission raids staff offices",Officers took over the council staffs boardroom and seized devices.,https://www.stuff.co.nz/world-news/360761778/hours-australian-council-meeting-anti-corruption-commission-raids-staff-offices,2025-07-17T05:46:27,Stuff,New Zealand,en
All I can do is hope Farmer fears another flood may end his career,"With the bottom line washed away and stress levels peaking, Andrew Fry says another heavy rain event could spell the end of his farming career.",https://www.stuff.co.nz/nz-news/360761568/all-i-can-do-hope-farmer-fears-another-flood,2025-07-17T05:41:18,Stuff,New Zealand,en
Watch Miley Cyrus on why she doesnt have the desire to tour anymore,The singer said it was hard to maintain sobriety on the road which was an important pillar of stability in her life.,https://www.stuff.co.nz/culture/360761737/watch-miley-cyrus-why-she-doesnt-have-desire-tour-anymore,2025-07-17T05:29:17,Stuff,New Zealand,en
Ex-gang member and reigning NZ Open champion mixes with golf stars at the British Open,"Ryan Peake, an ex-gang member, spent five years in prison. Hes now rubbing shoulders with the worlds best golfers on the fairways at the Open.",https://www.stuff.co.nz/sport/360760662/ex-gang-member-ryan-peake-mixes-golf-stars-open,2025-07-17T05:19:32,Stuff,New Zealand,en
Live Peters suggests Seymour doesnt know proper protocol after karakia remarks,"The deputy PM tells councils to stick to core services, cut red tape, and rebuild trust.",https://www.stuff.co.nz/politics/360605837/live-nz-politics-blog,2025-07-17T05:13:52,Stuff,New Zealand,en
I bring an X-factor The rookie All Blacks fullback dazzling with confidence,Ruben Love wants to be the best player in the world and was unfazed in the spotlight ahead of making his first test start against France in Hamilton.,https://www.stuff.co.nz/sport/360761247/new-all-blacks-fullback-ruben-love-dazzles-confidence-ahead-start-against-france,2025-07-17T05:00:00,Stuff,New Zealand,en
What was said between SBW and Gallen in heated post-fight exchange,"While Williams appeared to want to make peace with his foe, Gallen became animated and, at one point, had his finger pointed squarely at Williams face.",https://www.stuff.co.nz/sport/360761145/paul-gallen-reveals-what-was-said-heated-post-fight-exchange-after-controversial-win-over-sonny-bill,2025-07-17T05:00:00,Stuff,New Zealand,en
Phoenix sign national icon with 66 goals in 60 international appearances,Wellington Phoenix have recruited Nepals all-time leading goal-scorer to help the team scale the A-League Women table.,https://www.stuff.co.nz/sport/360761522/wellington-phoenix-bolster-attack-sabitra-bhandari-signing,2025-07-17T05:00:00,Stuff,New Zealand,en
Woman killed in Otago crash was promising law student on way back to uni,"Tessa Elizabeth Macintosh Sheild, 20, died following a crash near Moeraki Boulders Rd on Sunday.",https://www.stuff.co.nz/nz-news/360761491/woman-killed-north-otago-crash-was-promising-law-student-way-back-uni,2025-07-17T04:51:51,Stuff,New Zealand,en
"Wellington Live owner told to pay former worker almost 30,000","Joseph Parr took the company owned by mayoral candidate Graham Bloxham to the Employment Relations Authority, complaining he was constructively dismissed while working as the social media sites head of digital marketing.",https://www.stuff.co.nz/business/360761613/wellington-live-owner-told-pay-former-worker-almost-30k,2025-07-17T04:34:31,Stuff,New Zealand,en
Watch Auckland skin clinic teaches thief how to use products they stole,"To the robber who robbed our clinic, we hope your skin is glowing, the clinic said.",https://www.stuff.co.nz/nz-news/360760716/auckland-skin-clinic-teaches-thief-how-use-products-they-stole,2025-07-17T04:27:25,Stuff,New Zealand,en
Court rejects athlete unions bid to appeal employment ruling,"A years-long battle over whether a group of elite athletes can collectively bargain has ended, after the Court of Appeal rejected an appeal bid.",https://www.stuff.co.nz/sport/360761544/court-rejects-athlete-unions-bid-appeal-employment-ruling,2025-07-17T04:17:37,Stuff,New Zealand,en
"Road test Hyundai Tucson Hybrid, a truly wonderful city slicker","Hyundai has updated its Tucson, and its really very good.",https://www.stuff.co.nz/motoring/360696364/road-test-hyundai-tucson-hybrid-truly-wonderful-city-slicker,2025-07-17T04:16:51,Stuff,New Zealand,en
Dunedin villa up in flames,Firefighters are at the scene of a house fire which has ripped though a Dunedin villa.,https://www.stuff.co.nz/nz-news/360761485/dunedin-villa-flames,2025-07-17T04:14:07,Stuff,New Zealand,en
Dan died six weeks after our wedding. I had no idea he was struggling,"How do you rebuild after losing your partner early in life, when most friends cant understand your pain?",https://www.stuff.co.nz/society/360761511/dan-died-six-weeks-after-our-wedding-i-had-no-idea-he-was-struggling,2025-07-17T03:59:51,Stuff,New Zealand,en
Auckland girls high school out of lockdown after dealing with incident,The high school said on its website they would continue to provide updates as soon as possible.,https://www.stuff.co.nz/nz-news/360761346/auckland-girls-high-school-lockdown,2025-07-17T03:46:05,Stuff,New Zealand,en
Man found flying under fake name after allegedly referencing a bomb on plane,The 45-year-old was escorted off the plane by police in Sydney before discovering he was travelling under a fake name. Hed also travelled on another flight that day.,https://www.stuff.co.nz/travel/360761425/man-found-flying-under-fake-name-after-allegedly-referencing-bomb-plane,2025-07-17T03:41:21,Stuff,New Zealand,en
Two Harry Potter stars banned from driving over separate speeding incidents,She was caught speeding - and it tipped her demerit points enough to see her banned.,https://www.stuff.co.nz/culture/360760411/actress-emma-watson-banned-driving,2025-07-17T03:00:46,Stuff,New Zealand,en
PM quiz With which bean is Japanese staple miso seasoning typically made?,Stuff afternoon quiz Jul 17,https://www.stuff.co.nz/quizzes/360720000/stuff-quiz-afternoon-trivia-challenge-july-17-2025,2025-07-17T03:00:00,Stuff,New Zealand,en
The Summer I Turned Pretty reignites famous we were on a break debate,The Jenny Han love story has brought back the iconic Friends breakup debate with Belly and Jeremiahs complicated college romance and emotional fallout.,https://www.stuff.co.nz/culture/360760909/summer-i-turned-pretty-reignites-famous-we-were-break-debate,2025-07-17T02:47:48,Stuff,New Zealand,en
Two people charged 10 years after 4-year-olds unexplained death,Two people have been charged with neglect in relation to the unexplained death of Alestra Kepa-Hati in 2015.,https://www.stuff.co.nz/nz-news/360761272/two-people-charged-historical-child-death-case,2025-07-17T02:32:59,Stuff,New Zealand,en
Janes Addiction bandmates sue each other over onstage fight that ended tour,The members allege Perry Farrells behaviour on the tour had ranged from erratic to out-of-control.,https://www.stuff.co.nz/culture/360761306/janes-addiction-bandmates-sue-each-other-over-onstage-fight-ended-tour,2025-07-17T02:23:13,Stuff,New Zealand,en
One of the strangest outcomes Ive encountered SBWs promoter says experts split on controversial decision,Flummoxing fight left both sides thinking they had won - and one camp bitterly crying foul.,https://www.stuff.co.nz/sport/360761144/sonny-bill-williams-promoter-experts-were-split-controversial-decision-against-paul-gallen,2025-07-17T01:55:36,Stuff,New Zealand,en
Sailing away Is Aucklands biggest ferry provider being put up for sale?,Reports suggest Fullers 360 will be sold by its UK owners.,https://www.stuff.co.nz/business/360761235/sailing-away-aucklands-biggest-ferry-provider-being-put-sale,2025-07-17T01:54:04,Stuff,New Zealand,en
