title,description,url,published_date,source,country,language
Babies made using three peoples DNA are born free of hereditary disease,"The method was pioneered by UK scientists to overcome devastating, often fatal inherited diseases.",https://www.bbc.com/news/articles/cn8179z199vo,2025-07-16T21:00:21,BBC News,UK,en
"Starmer stamps authority with MP suspensions, but risks appearing vindictive",Senior officials say the sackings came after repeated organising against the government.,https://www.bbc.com/news/articles/cedg44wj47go,2025-07-17T05:40:35,BBC News,UK,en
Syria leader vows to protect Druze after sectarian violence prompts Israeli strikes,Ahmed al-Sharaa spoke after Israel said it would destroy government forces it accused of attacking Druze in Syria.,https://www.bbc.com/news/articles/cg5z3jqe673o,2025-07-17T06:59:24,BBC News,UK,en
UK jobs market weakens as unemployment rate rises,The official data shows wage growth has slowed while the number of vacancies continues to fall.,https://www.bbc.com/news/articles/cg754negn75o,2025-07-17T08:05:28,BBC News,UK,en
"Busiest UK airports raise kiss-and-fly fees, says RAC",Britains airports are charging up to 7 to briefly drop-off passengers close to terminals.,https://www.bbc.com/news/articles/cwyg0ly2ld8o,2025-07-16T23:01:34,BBC News,UK,en
New photo to mark Queen Camillas 78th birthday,"The Queen is pictured smiling and looking relaxed in the new photo taken at her Wiltshire home, Raymill.",https://www.bbc.com/news/articles/cdezjjkzy52o,2025-07-17T00:54:09,BBC News,UK,en
Its just better! Trump says Coca-Cola to change key US ingredient,"Coca-Cola said they appreciate President Trumps enthusiasm, without confirming they plan to make the tweak.",https://www.bbc.com/news/articles/czxe59zl8qzo,2025-07-16T23:05:05,BBC News,UK,en
MoD offered to speed up resettlement case of Afghan who posted data breach names on Facebook,"The BBC understands the individual, an Afghan national, is now living in the UK.",https://www.bbc.com/news/articles/c0rvyqd7wq2o,2025-07-16T18:47:13,BBC News,UK,en
Labour looking into Abbotts comments about racism,The veteran Labour MP has told the BBC she stands by comments that led to a year-long suspension from the party.,https://www.bbc.com/news/articles/cwye24vjnn8o,2025-07-17T07:54:32,BBC News,UK,en
Deadly fire rips through shopping centre in Iraq,Clips circulating on social media appear to show a number of people on the roof during the fire.,https://www.bbc.com/news/articles/ceq7d45v5v3o,2025-07-17T06:59:33,BBC News,UK,en
Flat owners planning legal claim over secret insurance charges,Property firms allegedly charged leaseholders commission for arranging buildings insurance without telling them.,https://www.bbc.com/news/articles/cj6100zdnlyo,2025-07-16T23:04:13,BBC News,UK,en
"Summer holiday clubs now cost an average of 1,076 per child","Some areas have seen prices rise by as much as 13, research by childrens charity Corum finds.",https://www.bbc.com/news/articles/cx231jx70evo,2025-07-16T23:04:21,BBC News,UK,en
BBC gains rare access to US base tracking global missile strikes,"From their base in Colorado, Space Force units track missiles fired anywhere in the world.",https://www.bbc.com/news/articles/cy8k2nd7e9no,2025-07-16T16:00:11,BBC News,UK,en
Risky strategy for Trump as he escalates Epstein row with loyal supporters,"In defending how his administration is handling supposed files on Jeffrey Epstein, he says some stupid Republicans fell for a hoax.",https://www.bbc.com/news/articles/cjrlg94wnq9o,2025-07-16T20:45:30,BBC News,UK,en
What we know so far about Afghan data breach,The revelation of a major data leak and subsequent relocation of thousands of Afghans to the UK has raised serious questions.,https://www.bbc.com/news/articles/c79qyl907lxo,2025-07-16T21:38:07,BBC News,UK,en
