title,description,url,published_date,source,country,language
"This is going to be a real hatchet job, isnt it? Janet Street-Porter on bitchiness, backstabbing and her remarkable career","One of the giants of British media, Street-Porter is a regular on Loose Women, a former TV executive, newspaper editor and author  and about to launch a one-woman stage show. She talks about love, regrets and her fury with her late motherJanet Street-Porter is the straight-talkers straight talker. Nobody says it how it is quite like her, whether shes talking about how she hated her mother, tried to kill her sister or cheated on her four ex-husbands. The former TV executive, newspaper editor, author and Loose Women regular is now going on the road with a one-woman show called Off the Leash. To be fair, shes never been on it. Street-Porters website heralds her as the nations favourite pissed-off pensioner and promises that, with the new show, in the words of her good friend Elton  the bitch is back!We meet at a restaurant she has booked in west London. When I get there, shes already perusing the menu and eavesdropping on the couple behind us. That man behind us is very irritating, she stage-whispers. Hes giving this woman advice about making friends. My back is to him. What does he look like, I ask. She sticks two fingers down her throat and makes a gagging noise. Continue reading...",https://www.theguardian.com/media/2025/jul/17/this-is-going-to-be-a-real-hatchet-job-isnt-it-janet-street-porter-on-bitchiness-backstabbing-and-her-remarkable-career,2025-07-17T04:00:27,The Guardian,UK,en
Monks behaving badly the sex scandal rocking Thailands Buddhist clergy,"Stories of monks behaving badly are not uncommon in Thailand, but the scale of a recent scandal has sparked questions about wealth and privilegeThe disappearance of a respected monk from his Buddhist temple in central Bangkok has revealed a sex scandal that has rocked Thailand, with allegations of blackmail, lavish gifts and a string of dismissals raising questions about the money and power enjoyed by the countrys orange-robed clergy.Investigations into the whereabouts of senior monk Phra Thep Wachirapamok unexpectedly led police to a woman who the police suspect conducted intimate relationships with several senior monks, and then blackmailed them to keep the liaisons quiet. Continue reading...",https://www.theguardian.com/world/2025/jul/17/monks-behaving-badly-the-sex-scandal-rocking-thailands-buddhist-clergy-ntwnfb,2025-07-17T05:39:13,The Guardian,UK,en
"High water bills, filthy rivers  and now drought. This is Englands great artificial water crisis of 2025  George Monbiot","In its refusal to renationalise water, its clear the government operates in the interests of private capital and not of the countryFor a rich and fairly stable country, we are staggeringly ill-prepared for climate shocks. We respond to predictable crises as if we had had no warning. Lessons from previous disasters go unlearned, mistakes are recycled, failures lodged so deeply that they come to define the system.This is not because of a deficiency in the national character, but because of a deficiency in the ideology of government an elite belief, shared by scarcely any citizens, that public intervention should be used only when all other measures have failed. Until that point, our problems should be addressed by the private sector. As drought rolls across the country once again, Englands privatised water system guarantees an irrational response.George Monbiot is a Guardian columnistOn Tuesday 16 September, join George Monbiot, Mikaela Loach and other special guests discussing the forces driving climate denialism, live at the Barbican in London and livestreamed globally. Book tickets here or at Guardian.Live Continue reading...",https://www.theguardian.com/commentisfree/2025/jul/17/water-bills-filthy-rivers-drought-water-crisis,2025-07-17T05:00:29,The Guardian,UK,en
Its soul-destroying takeover crisis leaves Morecambe FC on the brink,"Supporters say end of 105-year-old Lancastrian club, which could collapse in days, would devastate seaside townIn the century since it was founded, only a world war has stopped play at Morecambe football club. But the 105-year-old institution is days away from collapse amid the unfolding disaster of a takeover deal.The Shrimps, as they are affectionately known, are the latest victims of lax football governance rules, after similar crises at clubs including Wigan Athletic, Bolton Wanderers, Sheffield Wednesday and Bury FC, one of the oldest in the world. Continue reading...",https://www.theguardian.com/uk-news/2025/jul/16/morecambe-fc-football-club-takeover-crisis-fans-supporters,2025-07-16T17:28:08,The Guardian,UK,en
Humble peasants  or an odyssey of sex and death? The Millet masterpiece that electrified modern art,"Van Gogh saw compassion for the rural worker Dalí saw phalluses and a childs grave. As The Angelus comes to the UK, our critic celebrates a painting so deep it could even induce hallucinationsIt was Salvador Dalí who turned a small, intense rural scene called The Angelus, painted by Jean-François Millet in 1857-59 and hugely popular in its day, into a totem of modern art.In the original, a pious peasant couple have heard the Angelus bell from a distant church, the Catholic call to prayer, and paused their work digging potatoes to lower their heads and pray. But from Dalís writings, we know he saw far more in the painting, from obscene sex to family tragedy. In one of his many versions of it, Atavism at Twilight, the couple sprout agricultural implements from their bodies. In his surreal drawings these good country people become mouldering, mummified husks, or are transformed into fossils by time and sadness. Now that the original painting is being lent by the Musée dOrsay to the National Gallery as the star of its forthcoming show Millet Life on the Land, we will all get a chance to obsess over this innocent-seeming artwork. Continue reading...",https://www.theguardian.com/artanddesign/2025/jul/17/angelus-millet-life-on-the-land-national-gallery-london-modern-art,2025-07-17T04:00:30,The Guardian,UK,en
The Institute review  this is how you butcher a Stephen King novel,"Flimsy characters, zero fun and the replacement of dread with upsetting scenes of child torture this show strips out every bit of the authors geniusMe, Im always in the mood for hokum. You can serve it to me at any point on the largest platter you have and I will grab my hooey knife and absurdity fork and start shovelling. But, like any chef, you have to know what youre doing. You have to make some effort, have the basic ingredients assembled in the right proportions and send it out from the kitchen hot, steaming and looking delicious. Tepid hokum, bland hokum  well, that aint no hokum at all.And so to the latest Stephen King adaptation, this time by Benjamin Cavell and directed by Jack Bender Lost, From, Under the Dome  the latter another King tale of the horror masters 2019 novel The Institute, travelling to our screens under the same name. Continue reading...",https://www.theguardian.com/tv-and-radio/2025/jul/17/the-institute-review-stephen-king-novel-adaptation,2025-07-17T04:00:28,The Guardian,UK,en
Resident doctors accused of greedy pay demands before Streeting talks,"Hospital chiefs warn next weeks strike in England will cause chaos in NHS, as BMA pushes for 29 rise on top of last years 22 dealResident doctors have been accused of being very greedy over their 29 pay demand, before talks with Wes Streeting on Thursday and a planned five-day strike next week.The Guardian spoke to hospital trust bosses and senior medics, all of whom criticised the walkout in England and warned that it will cause absolute chaos in the NHS. Continue reading...",https://www.theguardian.com/society/2025/jul/17/resident-doctors-nhs-greedy-pay-wes-streeting,2025-07-17T06:00:31,The Guardian,UK,en
Diane Abbott says she stands by racism comments that led to suspension from Labour,"MP says it is silly to claim racism over skin colour is the same as other types of racism  but she has spent her life fighting antisemitismDiane Abbott has said she has no regrets about comments on racism that led to her year-long suspension from the Labour party.The veteran Labour MP for Hackney North and Stoke Newington was disciplined for writing a letter to the Observer in April 2023 arguing that people of colour experienced racism all their lives and in a different way to Jewish people, Irish people and Travellers. Continue reading...",https://www.theguardian.com/politics/2025/jul/17/diane-abbott-says-she-stands-by-racism-comments-that-led-to-suspension-from-labour,2025-07-17T07:16:58,The Guardian,UK,en
European missile group MBDA selling parts for bombs that have killed children in Gaza,"Exclusive Britain has paused some weapons sales to Israel, but a Guardian investigation shows revenues from the GBU-39 bomb generated by the US arm of MBDA flow through the UKEuropes largest missiles maker, MBDA, is selling key components for bombs that have been shipped in their thousands to Israel and used in multiple airstrikes where research indicates Palestinian children and other civilians were killed.With concerns mounting about the extent to which European companies may be profiting from the devastation of Gaza, a Guardian investigation with the independent newsrooms Disclose and Follow the Money has examined the supply chain behind the GBU-39 bomb, and the ways in which it has been deployed during the conflict. Continue reading...",https://www.theguardian.com/world/2025/jul/17/european-missile-group-mbda-selling-parts-for-bombs-that-have-killed-children-in-gaza,2025-07-17T05:00:30,The Guardian,UK,en
Eight healthy babies born after IVF using DNA from three people,"Genetic material from mother and father transferred to healthy donor egg to reduce risk of life-threatening diseasesWed never heard of it a woman tells of her daughters death of mitochondrial diseaseDoctors in the UK have announced the birth of eight healthy babies after performing a groundbreaking procedure that creates IVF embryos with DNA from three people to prevent the children from inheriting incurable genetic disorders.The mothers were all high risk for passing on life-threatening diseases to their babies due to mutations in their mitochondria, the tiny structures that sit inside cells and provide the power they need to function. Continue reading...",https://www.theguardian.com/science/2025/jul/16/eight-healthy-babies-born-after-ivf-using-dna-from-three-people,2025-07-16T21:00:19,The Guardian,UK,en
