title,description,url,published_date,source,country,language
"The Open tee times moved to avoid disruption with loyalist band parade in Portrush, RA confirms","With more than 60 bands and thousands of spectators expected in Portrush, the RA has confirmed a tweak to its scheduling plans",https://www.independent.co.uk/sport/golf/the-open-tee-times-portrush-loyalist-band-parade-b2790672.html,2025-07-17T08:06:40,The Independent,UK,en
Myleene Klass receives MBE for campaigning work on miscarriages,Dame Patricia Hewitt was also honoured for her services to public health and NHS reform,https://www.independent.co.uk/life-style/myleene-klass-mbe-miscarriages-king-womens-health-b2790678.html,2025-07-17T08:03:04,The Independent,UK,en
An American city is becoming overrun by ground squirrels. Residents are fighting back,The number of Richardsons ground squirrels in North Dakotas fourth-largest city likely nears the citys population,https://www.independent.co.uk/news/world/americas/richardson-ground-squirrel-minot-north-dakota-b2790662.html,2025-07-17T07:59:01,The Independent,UK,en
Mexico Citys plan to tackle gentrification after angry protests against overtourism,"Mexico City authorities have unveiled a preliminary plan to combat gentrification, following a week of intense protests over soaring housing costs. The rising prices are widely attributed to a surge in mass tourism and the influx of digital nomads  foreigners temporarily residing in the capital.",https://www.independent.co.uk/travel/news-and-advice/mexico-city-tourism-protests-holiday-b2790676.html,2025-07-17T07:56:11,The Independent,UK,en
easyJet hit by unexpected and significant costs from French air-traffic control strike,Headline profit at Britains biggest budget airline rose by 50m in April-June,https://www.independent.co.uk/travel/news-and-advice/easyjet-french-air-traffic-control-strike-b2790639.html,2025-07-17T07:55:37,The Independent,UK,en
"13 best gas BBQs, expert-tested for next-level grilling",Dont risk it with your brisket  pick up one of these top-rated barbecues,https://www.independent.co.uk/extras/indybest/house-garden/bbqs-accessories/best-gas-bbqs-barbecues-a9481756.html,2025-07-17T07:54:16,The Independent,UK,en
Iceland volcano eruption live Huge wall of fire expands to the north as gas cloud heads towards airport,Fresh lava now covers 3.2 square kilometres of land,https://www.independent.co.uk/news/world/europe/iceland-volcano-eruption-live-airport-flights-blue-lagoon-travel-news-b2790660.html,2025-07-17T07:50:17,The Independent,UK,en
Parents now forking out 1k per child on average for summer holiday care,The cost of childcare over the six-week summer holiday will rise by at least four per cent across Britain,https://www.independent.co.uk/life-style/health-and-families/childcare-costs-summer-holidays-b2790323.html,2025-07-17T07:49:35,The Independent,UK,en
Man paralysed and needs 24-hour care after catching mild flu as toddler,Timothy Bingham was two years old when he had a mild flu-like illness which left him unable to walk,https://www.independent.co.uk/life-style/health-and-families/toddler-flu-paralysed-scientists-timothy-bingham-b2790131.html,2025-07-17T07:47:10,The Independent,UK,en
Can Hampstead Heaths ladies pond win the fight for trans inclusion?,"An advocacy charity is launching a legal bid that could ban trans women from the Hampstead Heath ladies pond, citing the recent Supreme Court ruling that redefined legal sex under the Equality Act. Olivia Petter speaks to lawyers to find out if the beloved inclusive space can remain open to all who enjoy it",https://www.independent.co.uk/life-style/hampstead-heath-ladies-pond-trans-legal-battle-gender-campaign-b2789914.html,2025-07-17T07:47:09,The Independent,UK,en
9 summer bedding ideas for stylish schemes,"Sleep in slumber with these seasonal updates, says Sam Wylie-Harris.",https://www.independent.co.uk/life-style/design/sleep-bedroom-french-milan-b2790677.html,2025-07-17T07:45:53,The Independent,UK,en
