title,description,url,published_date,source,country,language
"Senate approves cuts to NPR, PBS and foreign aid programs",The Senate voted to approve a 9 billion rescission package aimed at clawing back money already allocated for public radio and television.,https://www.npr.org/2025/07/17/nx-s1-5469904/npr-pbs-cuts-rescission-senate-vote,2025-07-17T02:53:45,NPR,USA,en
Gulf Coast braces for flooding as storm builds into possible tropical depression,The weather system moving across the Florida Panhandle on Wednesday was showing a greater chance of becoming a tropical depression as it moves toward the northern Gulf Coast.,https://www.npr.org/2025/07/17/g-s1-78006/gulf-coast-storm-tropical-depression,2025-07-17T01:10:53,NPR,USA,en
White House says U.S. fentanyl overdose programs will be funded in increments,CDC staffers worry 140 million in grants could fail to reach state and local overdose programs. The White House officials say the dollars will arrive but wont say when.,https://www.npr.org/2025/07/17/nx-s1-5470249/fentanyl-overdose-treatment-white-house-trump,2025-07-17T00:10:48,NPR,USA,en
Air traffic controllers say a push to modernize equipment wont fix deeper problems,Former and current U.S. air traffic controllers say the Trump administrations focus on new equipment doesnt address problems like grueling schedules and stagnating pay that are hurting morale.,https://www.npr.org/2025/07/17/nx-s1-5453878/air-traffic-controllers-sean-duffy-faa,2025-07-17T00:01:00,NPR,USA,en
Thousands of veterans get help from Congress to save their homes from foreclosure,"A bipartisan Congress has come to the rescue of vets at risk of losing their homes, after administrations from both parties tore up VA safety nets for homeowners.",https://www.npr.org/2025/07/16/g-s1-77971/veterans-help-congress-va-foreclosure,2025-07-16T20:24:26,NPR,USA,en
"Clawing back foreign aid is tied to waste, fraud and abuse. Whats the evidence?","As the Senate prepares to vote on a bill to rescind 40 billion in promised foreign aid, critics of the measure say a thorough governmental review of targeted programs did not actually take place.",https://www.npr.org/sections/goats-and-soda/2025/07/16/g-s1-77847/rescission-clawback-foreign-aid-bill-fraud-waste-abuse,2025-07-16T19:52:24,NPR,USA,en
Lesotho declares state of disaster after massive tariff threats from U.S.,"Lesotho, a tiny mountain kingdom in Southern Africa, has just declared a two-year state of disaster after being threatened with the highest U.S. tariffs in the world.",https://www.npr.org/2025/07/16/nx-s1-5468518/lesotho-declares-state-of-disaster-after-massive-tariff-threats-from-u-s,2025-07-16T19:11:26,NPR,USA,en
Tariffs are a tax. Are you already paying it?,"Its been over three months since President Trump announced very big across-the-board tariffs on imports from nearly every territory on Earthincluding uninhabited islands. Its a move he said would revitalize the U.S. economy.Since that splashy White House announcement, the tariff rates have been a wildly moving target. Ratcheted up - then back down - on China, specifically.Overlaid with global product-specific tariffs on categories like automobiles and copper. Partially paused after the stock market tanked.Through it all, the tariff rate has remained at or well-above 10 percent on nearly every good imported to the U.S. And if youve listened to NPRs reporting since April, youll have heard many voices make one particular prediction over and over again  that American consumers will pay the price.If American consumers are going to pay for the tariffs, the question is when ? For sponsor-free episodes of Consider This, sign up for Consider This via Apple Podcasts or at plus.npr.org.Email us at considerthisnpr.org.",https://www.npr.org/2025/07/16/1255755373/tariffs-are-a-tax-are-you-already-paying-it,2025-07-16T17:58:21,NPR,USA,en
Nebraska keeps ban on food assistance for those with drug convictions,"Under a legacy of the war on drugs, some states still ban people with drug convictions from getting government food assistance. Nebraska lawmakers tried to do away with their ban and just fell short.",https://www.npr.org/2025/07/16/nx-s1-5448100/nebraska-keeps-ban-on-food-assistance-for-those-with-drug-convictions,2025-07-16T17:27:24,NPR,USA,en
How a third parents DNA can prevent an inherited disease,An experimental technique that patches defective DNA with donated genetic material helped families at risk of passing rare illnesses to their children.,https://www.npr.org/sections/shots-health-news/2025/07/16/nx-s1-5468304/mitochondria-disease-gene-donation-three-parents,2025-07-16T17:00:44,NPR,USA,en
